@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'ASIAN HANDICAP',1.88,2081.17631
'ASIAN HANDICAP',1.94,1957.352581
'ASIAN HANDICAP',1.94,1957.352581
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',2.06,2024.84343
'ASIAN HANDICAP',1.9,2082.592153
'MATCH ODDS',3.54,1825.408744
'ASIAN HANDICAP',2.02,1602.679828
'ASIAN HANDICAP',2.39,2452.211804
'ASIAN HANDICAP',1.93,1946.011181
'ASIAN HANDICAP',1.82,1947.391547
'MATCH ODDS',2.14,1802.095283
'ASIAN HANDICAP',1.8,1979.678222
'ASIAN HANDICAP',1.8,1979.678222
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',1.8,1947.139853
'ASIAN HANDICAP',1.92,1956.75824
'ASIAN HANDICAP',1.96,2069.600275
'ASIAN HANDICAP',1.78,1952.915227
'ASIAN HANDICAP',2.02,257.104679
'MATCH ODDS',3.59,1825.408744
'ASIAN HANDICAP',2.04,1958.158775
'MATCH ODDS',1.8,1769.143328
'ASIAN HANDICAP',1.9,703.781221
'ASIAN HANDICAP',1.92,2428.609079
'ASIAN HANDICAP',1.9,871.999788
'MATCH ODDS',2.12,1802.095283
'MATCH ODDS',2.03,1801.404579
'ASIAN HANDICAP',1.77,2074.450515
'ASIAN HANDICAP',1.79,2074.378277
'ASIAN HANDICAP',1.74,1936.278752
'ASIAN HANDICAP',2.01,1997.805846
'MATCH ODDS',2.52,1800.310157
'ASIAN HANDICAP',1.75,2043.130181
'ASIAN HANDICAP',2.06,2427.385526
'ASIAN HANDICAP',1.99,2428.609079
'MATCH ODDS',2.5,1751.668664
'ASIAN HANDICAP',1.89,2021.561947
'MATCH ODDS',2.1,1770.462993
'MATCH ODDS',2.1,1770.462993
'MATCH ODDS',1.8,1769.143328
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',1.79,748.984773
'ASIAN HANDICAP',2.19,1960.707906
'MATCH ODDS',2.02,1768.289142
'MATCH ODDS',1.91,1772.641879
'ASIAN HANDICAP',1.82,748.984773
'ASIAN HANDICAP',1.92,748.984773
'MATCH ODDS',1.73,1763.846462
'ASIAN HANDICAP',1.97,2080.707294
'MATCH ODDS',1.97,1773.165429
'ASIAN HANDICAP',2.01,1942.997099
'MATCH ODDS',1.95,1159.541531
'ASIAN HANDICAP',1.8,1277.416434
'MATCH ODDS',2.3,1753.101293
'ASIAN HANDICAP',1.8,1277.416434
'MATCH ODDS',2.41,1159.541531
'ASIAN HANDICAP',1.85,1081.255947
'MATCH ODDS',2.4,1751.695256
'ASIAN HANDICAP',1.88,1229.547506
'ASIAN HANDICAP',1.81,1947.391547
'MATCH ODDS',1.62,1756.532038
'MATCH ODDS',1.81,1801.516283
'ASIAN HANDICAP',1.9,704.072509
'ASIAN HANDICAP',1.67,1950.348742
'ASIAN HANDICAP',1.85,422.873366
'MATCH ODDS',1.91,1774.286217
'MATCH ODDS',3.42,1715.260137
'ASIAN HANDICAP',2.01,1997.805846
'ASIAN HANDICAP',1.94,1971.2081
'ASIAN HANDICAP',1.92,2002.126419
'MATCH ODDS',1.53,1730.425337
'ASIAN HANDICAP',1.92,257.104679
'ASIAN HANDICAP',2.02,2064.14544
'MATCH ODDS',1.83,1801.516283
'MATCH ODDS',1.91,219.694724
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',1.98,2025.449242
'MATCH ODDS',3.47,1715.13114
'MATCH ODDS',2.23,1802.095283
'MATCH ODDS',2.3,1801.404579
'MATCH ODDS',1.84,1801.516283
'ASIAN HANDICAP',1.7,1962.320545
'ASIAN HANDICAP',1.94,2081.080113
'MATCH ODDS',2.13,1802.095283
'ASIAN HANDICAP',1.98,2005.505838
'ASIAN HANDICAP',1.86,207.67219
'ASIAN HANDICAP',1.79,2055.820514
'ASIAN HANDICAP',2,2064.151369
'ASIAN HANDICAP',1.93,2081.25821
'ASIAN HANDICAP',1.92,1109.955646
'ASIAN HANDICAP',1.95,2397.006735
'ASIAN HANDICAP',1.91,2452.211804
'ASIAN HANDICAP',1.85,2410.319627
'ASIAN HANDICAP',2.03,1996.626279
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',1.96,748.984773
'ASIAN HANDICAP',2,2023.75344
'OVER / UNDER',1.83,1771.869012
'ASIAN HANDICAP',1.81,748.984773
'ASIAN HANDICAP',1.92,1976.695226
'ASIAN HANDICAP',1.85,1936.639721
'ASIAN HANDICAP',1.85,1212.227176
'ASIAN HANDICAP',2,1329.541011
'MATCH ODDS',1.73,1098.896498
'ASIAN HANDICAP',1.9,1281.035978
'ASIAN HANDICAP',1.84,2062.409327
'MATCH ODDS',3.38,1715.260137
'ASIAN HANDICAP',1.98,1959.878947
'MATCH ODDS',3.69,1825.408744
'ASIAN HANDICAP',2.14,1940.950141
'ASIAN HANDICAP',1.91,2029.924004
'MATCH ODDS',3.38,1715.260137
'ASIAN HANDICAP',2.06,1944.428589
'ASIAN HANDICAP',1.79,1968.007124
'MATCH ODDS',1.98,1769.733778
'MATCH ODDS',2,1801.404579
'OVER / UNDER',1.93,1771.797239
'MATCH ODDS',2.5,1753.373338
'ASIAN HANDICAP',1.89,1937.033215
'ASIAN HANDICAP',1.89,2435.567646
'ASIAN HANDICAP',1.88,1967.71726
'ASIAN HANDICAP',2.01,207.67219
'MATCH ODDS',3.59,1825.408744
'MATCH ODDS',1.81,1801.516283
'MATCH ODDS',2.01,1801.404579
'MATCH ODDS',2.7,1800.310157
'ASIAN HANDICAP',2.04,2024.096258
'ASIAN HANDICAP',2.09,2397.006735
'ASIAN HANDICAP',1.79,2397.006735
'MATCH ODDS',2.5,1753.373338
'MATCH ODDS',3.6,1715.13114
'ASIAN HANDICAP',1.98,2026.48884
'ASIAN HANDICAP',1.93,2081.25821
'ASIAN HANDICAP',1.9,1961.367365
'ASIAN HANDICAP',1.92,2005.356418
'MATCH ODDS',2.14,219.694724
'ASIAN HANDICAP',2.04,2428.609079
'ASIAN HANDICAP',1.75,2014.994089
'ASIAN HANDICAP',2.03,2061.4478
'ASIAN HANDICAP',1.87,1994.971435
'ASIAN HANDICAP',1.84,1979.673683
'ASIAN HANDICAP',2,1984.044452
'ASIAN HANDICAP',1.94,2428.609079
'MATCH ODDS',2.05,1769.85585
'ASIAN HANDICAP',1.94,2002.080581
'ASIAN HANDICAP',1.99,1616.703431
'MATCH ODDS',2.65,1800.310157
'ASIAN HANDICAP',1.8,1967.819209
'ASIAN HANDICAP',1.93,1956.75824
'MATCH ODDS',2.1,219.694724
'MATCH ODDS',2.2,219.694724
'MATCH ODDS',1.95,219.694724
'MATCH ODDS',3.2,219.694724
'MATCH ODDS',2.45,219.694724
'ASIAN HANDICAP',1.96,2030.241944
'MATCH ODDS',2.17,1801.404579
'ASIAN HANDICAP',1.96,207.67219
'ASIAN HANDICAP',1.7,2072.181396
'ASIAN HANDICAP',2.02,1592.566698
'ASIAN HANDICAP',1.96,1988.859374
'OVER / UNDER',1.73,1766.707978
'OVER / UNDER',1.94,1772.136903
'MATCH ODDS',2,419.450713
'MATCH ODDS',2.04,1802.095283
'ASIAN HANDICAP',1.82,207.67219
'MATCH ODDS',4.2,219.694724
'MATCH ODDS',2.35,1802.095283
'ASIAN HANDICAP',1.8,1979.678222
'MATCH ODDS',2.29,1801.404579
'MATCH ODDS',2.1,1340.078869
'ASIAN HANDICAP',2.03,2063.454589
'ASIAN HANDICAP',1.98,1998.32801
'ASIAN HANDICAP',1.92,1572.538472
'MATCH ODDS',1.8,1534.44541
'ASIAN HANDICAP',1.97,2452.211804
'MATCH ODDS',4.47,1712.705652
'MATCH ODDS',1.77,748.984773
'ASIAN HANDICAP',1.98,748.984773
'ASIAN HANDICAP',1.76,1952.915227
'MATCH ODDS',1.78,748.984773
'ASIAN HANDICAP',2.14,1940.950141
'MATCH ODDS',1.89,748.984773
'MATCH ODDS',1.7,1766.022708
'MATCH ODDS',2.25,749.056645
'MATCH ODDS',2.3,749.056645
'MATCH ODDS',2.3,749.056645
'ASIAN HANDICAP',1.8,748.984773
'ASIAN HANDICAP',1.86,748.984773
'MATCH ODDS',1.67,1763.553077
'ASIAN HANDICAP',1.83,1229.547506
'ASIAN HANDICAP',1.81,1235.564505
'ASIAN HANDICAP',1.98,2065.84717
'ASIAN HANDICAP',1.91,2069.299808
'MATCH ODDS',2.18,1802.095283
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',2.28,2007.097413
'MATCH ODDS',1.83,1769.138789
'MATCH ODDS',2.15,1766.00466
'ASIAN HANDICAP',2.4,1928.657856
'MATCH ODDS',2.6,219.694724
'ASIAN HANDICAP',1.84,1979.673683
'MATCH ODDS',3.2,1740.243885
'ASIAN HANDICAP',1.71,1967.042745
'MATCH ODDS',1.67,219.694724
'MATCH ODDS',1.85,219.694724
'MATCH ODDS',3.3,219.694724
'MATCH ODDS',1.85,1770.619829
'ASIAN HANDICAP',1.9,1956.94682
'ASIAN HANDICAP',1.92,1970.613759
'ASIAN HANDICAP',1.96,2165.570135
'MATCH ODDS',1.79,1801.516283
'MATCH ODDS',5.69,1735.641372
'MATCH ODDS',3.48,219.694724
'ASIAN HANDICAP',1.79,2053.302102
'OVER / UNDER',1.8,1769.126934
'OVER / UNDER',1.99,1766.588558
'ASIAN HANDICAP',2.22,2006.982343
'ASIAN HANDICAP',2.05,1975.527779
'MATCH ODDS',1.91,1774.286217
'MATCH ODDS',3.38,1715.260137
'ASIAN HANDICAP',3.39,1914.386803
'ASIAN HANDICAP',2.03,1942.99117
'MATCH ODDS',3.2,219.694724
'ASIAN HANDICAP',1.81,2082.196843
'MATCH ODDS',1.8,219.694724
'ASIAN HANDICAP',2.07,1969.037084
'ASIAN HANDICAP',2.16,2428.609079
'ASIAN HANDICAP',1.88,2159.749549
'MATCH ODDS',3.44,1825.408744
'MATCH ODDS',1.86,1801.516283
'ASIAN HANDICAP',1.93,1988.365025
'ASIAN HANDICAP',1.91,1976.862701
'ASIAN HANDICAP',1.87,207.67219
'ASIAN HANDICAP',2.02,2075.955662
'MATCH ODDS',2.08,1771.096742
'ASIAN HANDICAP',2.07,2024.834315
'ASIAN HANDICAP',1.95,2069.715486
'ASIAN HANDICAP',1.98,1955.473433
'ASIAN HANDICAP',2.04,2397.006735
'ASIAN HANDICAP',1.96,2441.116085
'MATCH ODDS',1.88,219.694724
'ASIAN HANDICAP',2.1,2062.36252
'ASIAN HANDICAP',2.02,1958.158775
'ASIAN HANDICAP',1.85,2062.40456
'ASIAN HANDICAP',1.88,1992.00234
'ASIAN HANDICAP',1.84,1936.644488
'ASIAN HANDICAP',1.77,2076.121796
'ASIAN HANDICAP',1.91,748.984773
'MATCH ODDS',2.1,1770.462993
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',1.83,2082.812
'ASIAN HANDICAP',2.07,2067.996359
'ASIAN HANDICAP',1.97,1301.887068
'ASIAN HANDICAP',1.82,2023.077578
'ASIAN HANDICAP',1.81,1277.416434
'OVER / UNDER',1.81,1204.989929
'ASIAN HANDICAP',2.16,1301.368486
'ASIAN HANDICAP',1.83,1593.703026
'ASIAN HANDICAP',1.99,1997.805846
'MATCH ODDS',2.52,1748.601756
'MATCH ODDS',1.75,1768.998886
'MATCH ODDS',1.96,1774.809767
'MATCH ODDS',2.45,1751.695256
'MATCH ODDS',1.62,219.694724
'ASIAN HANDICAP',1.98,207.67219
'MATCH ODDS',2,1802.095283
'ASIAN HANDICAP',1.73,2050.77265
'ASIAN HANDICAP',2.03,2397.006735
'MATCH ODDS',3.4,219.694724
'MATCH ODDS',3.68,219.694724
'MATCH ODDS',2.5,219.694724
'MATCH ODDS',1.83,219.694724
'ASIAN HANDICAP',1.99,1984.044452
'ASIAN HANDICAP',1.98,2026.48884
'MATCH ODDS',2.39,1802.095283
'ASIAN HANDICAP',1.84,1992.421663
'MATCH ODDS',2.25,219.694724
'ASIAN HANDICAP',1.85,2142.5601
'MATCH ODDS',2.37,1801.404579
'MATCH ODDS',1.81,1770.783127
'ASIAN HANDICAP',1.82,1994.60199
'MATCH ODDS',3.3,1715.260137
'ASIAN HANDICAP',2,1984.044452
'MATCH ODDS',2.7,219.694724
'MATCH ODDS',2.49,219.694724
'ASIAN HANDICAP',1.82,2023.077578
'MATCH ODDS',2.12,1801.404579
'ASIAN HANDICAP',2.55,1918.028107
'MATCH ODDS',1.91,1772.641879
'MATCH ODDS',1.95,1774.987331
'MATCH ODDS',1.85,219.694724
'ASIAN HANDICAP',2.05,2397.006735
'MATCH ODDS',2.35,1751.445532
'ASIAN HANDICAP',1.79,2159.749549
'MATCH ODDS',2.49,1801.404579
'MATCH ODDS',1.94,1801.516283
'MATCH ODDS',1.81,1801.516283
'ASIAN HANDICAP',1.74,207.67219
'MATCH ODDS',1.81,1802.206987
'ASIAN HANDICAP',1.85,1992.416897
'ASIAN HANDICAP',1.96,1962.998067
'ASIAN HANDICAP',2.19,1930.053768
'ASIAN HANDICAP',2.19,257.104679
'ASIAN HANDICAP',2.28,2045.885093
'ASIAN HANDICAP',1.79,2016.473072
'ASIAN HANDICAP',1.83,1591.752954
'ASIAN HANDICAP',2.07,1955.181565
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',1.94,2029.710691
'ASIAN HANDICAP',2.1,749.056645
'ASIAN HANDICAP',1.82,749.056645
'ASIAN HANDICAP',2.02,1984.038524
'ASIAN HANDICAP',1.87,2023.113169
'ASIAN HANDICAP',1.8,2000.944573
'MATCH ODDS',1.62,1756.532038
'ASIAN HANDICAP',1.86,2022.966881
'ASIAN HANDICAP',1.88,2022.484624
'ASIAN HANDICAP',1.76,2055.892753
'ASIAN HANDICAP',2.11,2073.376533
'ASIAN HANDICAP',1.88,2061.990003
'ASIAN HANDICAP',1.97,2069.600275
'ASIAN HANDICAP',1.97,2069.600275
'MATCH ODDS',1.79,1770.439308
'ASIAN HANDICAP',1.81,1952.979005
'ASIAN HANDICAP',1.9,1946.199761
'ASIAN HANDICAP',1.89,1992.00234
'ASIAN HANDICAP',2.09,1954.798217
'ASIAN HANDICAP',2.06,2048.04698
'ASIAN HANDICAP',1.8,1992.599832
'ASIAN HANDICAP',2,2064.151369
'ASIAN HANDICAP',1.94,2004.816938
'ASIAN HANDICAP',2.01,2067.018073
'ASIAN HANDICAP',1.96,2080.707294
'ASIAN HANDICAP',1.82,749.056645
'ASIAN HANDICAP',1.9,2001.168885
'ASIAN HANDICAP',1.94,1957.352581
'ASIAN HANDICAP',1.75,2014.994089
'ASIAN HANDICAP',2.01,2047.05958
'ASIAN HANDICAP',2.25,1938.353327
'ASIAN HANDICAP',1.93,2002.126419
'ASIAN HANDICAP',2.07,1984.776581
'ASIAN HANDICAP',1.76,2079.327238
'ASIAN HANDICAP',2.09,2023.076636
'MATCH ODDS',1.97,1774.809767
'ASIAN HANDICAP',2.14,1980.721835
'ASIAN HANDICAP',1.93,2069.132333
'ASIAN HANDICAP',1.84,1992.421663
'MATCH ODDS',3.1,1740.243885
'ASIAN HANDICAP',1.83,2000.940034
'ASIAN HANDICAP',1.9,2075.145102
'ASIAN HANDICAP',2.02,2024.78711
'ASIAN HANDICAP',1.87,1593.225423
'MATCH ODDS',1.89,1771.073127
'MATCH ODDS',3.34,1715.260137
'ASIAN HANDICAP',2.32,2005.270522
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',3,1914.535596
'MATCH ODDS',2.5,219.694724
'ASIAN HANDICAP',1.73,2070.386537
'ASIAN HANDICAP',1.91,871.999788
'ASIAN HANDICAP',2.06,1944.428589
'MATCH ODDS',2.27,219.694724
'MATCH ODDS',3.52,219.694724
'MATCH ODDS',2.21,219.694724
'MATCH ODDS',1.83,219.694724
'MATCH ODDS',3.32,219.694724
'ASIAN HANDICAP',1.92,1946.011181
'ASIAN HANDICAP',1.96,1958.592553
'ASIAN HANDICAP',1.92,207.67219
'ASIAN HANDICAP',2.08,2002.710217
'OVER / UNDER',1.93,1794.191792
'ASIAN HANDICAP',2,1953.759189
'ASIAN HANDICAP',2.3,2005.273099
'ASIAN HANDICAP',1.98,2026.48884
'ASIAN HANDICAP',1.95,2069.715486
'ASIAN HANDICAP',2.86,1972.105962
'MATCH ODDS',1.97,1773.165429
'ASIAN HANDICAP',2.86,1914.536823
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',2.51,1923.173017
'MATCH ODDS',2.56,1743.973328
'ASIAN HANDICAP',1.95,1958.690747
'MATCH ODDS',3.57,1825.408744
'ASIAN HANDICAP',2.11,2022.296897
'ASIAN HANDICAP',2.08,2024.048731
'ASIAN HANDICAP',1.86,2022.966881
'ASIAN HANDICAP',2.19,2397.006735
'MATCH ODDS',1.9,1801.516283
'MATCH ODDS',1.82,1801.516283
'MATCH ODDS',3.48,1825.408744
'ASIAN HANDICAP',2.04,2024.096258
'ASIAN HANDICAP',2.29,2006.93663
'MATCH ODDS',2.24,1753.610574
'ASIAN HANDICAP',1.96,2397.006735
'ASIAN HANDICAP',2.35,1574.001645
'ASIAN HANDICAP',2.63,1916.673203
'MATCH ODDS',2.15,1767.648998
'MATCH ODDS',2.2,219.694724
'OVER / UNDER',2.06,210.02033
'OVER / UNDER',2.42,210.02033
'OVER / UNDER',2.12,748.984773
'MATCH ODDS',2.15,1766.00466
'ASIAN HANDICAP',1.95,748.984773
'ASIAN HANDICAP',2.3,748.984773
'MATCH ODDS',2.04,748.984773
'MATCH ODDS',2.25,748.984773
'ASIAN HANDICAP',2.04,1942.99117
'ASIAN HANDICAP',2.29,2006.93663
'ASIAN HANDICAP',1.91,2008.298084
'ASIAN HANDICAP',2.25,2007.029929
'MATCH ODDS',1.7,210.02033
'OVER / UNDER',2.09,748.984773
'ASIAN HANDICAP',1.86,748.984773
'ASIAN HANDICAP',1.98,748.984773
'OVER / UNDER',1.75,1768.925555
'ASIAN HANDICAP',1.83,1081.255947
'ASIAN HANDICAP',1.66,1235.564505
'ASIAN HANDICAP',1.93,1229.547506
'ASIAN HANDICAP',2.02,1973.690246
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',2.09,1974.735203
'MATCH ODDS',3.38,1715.260137
'ASIAN HANDICAP',1.96,1947.830462
'OVER / UNDER',1.8,1768.928773
'ASIAN HANDICAP',1.99,2064.151369
'ASIAN HANDICAP',2.03,1953.753261
'ASIAN HANDICAP',1.99,1996.632208
'ASIAN HANDICAP',2.18,1961.07246
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',2.2,1930.053768
'MATCH ODDS',2.6,1742.529252
'ASIAN HANDICAP',2.2,1984.00221
'ASIAN HANDICAP',1.88,1953.996277
'ASIAN HANDICAP',2.33,210.02033
'MATCH ODDS',2.8,219.694724
'MATCH ODDS',2.37,1753.360257
'ASIAN HANDICAP',1.77,1995.262825
'ASIAN HANDICAP',1.97,207.67219
'ASIAN HANDICAP',1.84,2022.903948
'ASIAN HANDICAP',2.39,1938.61637
'ASIAN HANDICAP',1.92,1961.178786
'MATCH ODDS',1.8,210.02033
'MATCH ODDS',2.6,219.694724
'ASIAN HANDICAP',2.08,207.67219
'OVER / UNDER',2.04,1789.221814
'MATCH ODDS',2.6,219.694724
'MATCH ODDS',2.25,219.694724
'MATCH ODDS',2.6,219.694724
'MATCH ODDS',1.86,219.694724
'ASIAN HANDICAP',2.22,1938.238257
'ASIAN HANDICAP',1.86,1947.454479
'ASIAN HANDICAP',1.95,2008.714543
'MATCH ODDS',1.95,1802.206987
'ASIAN HANDICAP',2.12,2061.81159
'ASIAN HANDICAP',1.82,2062.582957
'MATCH ODDS',1.76,219.694724
'OVER / UNDER',2.14,1785.904712
'MATCH ODDS',1.85,219.694724
'OVER / UNDER',2.12,1766.540211
'ASIAN HANDICAP',1.92,1970.613759
'ASIAN HANDICAP',1.91,1956.925716
'MATCH ODDS',2.22,1754.950121
'ASIAN HANDICAP',2,2001.954465
'OVER / UNDER',1.95,1772.067482
'MATCH ODDS',2.04,1442.585046
'ASIAN HANDICAP',1.91,2029.924004
'ASIAN HANDICAP',2.08,1959.592861
'ASIAN HANDICAP',2.05,1959.996308
'ASIAN HANDICAP',1.74,1973.694516
'ASIAN HANDICAP',1.78,1973.996474
'ASIAN HANDICAP',1.79,1936.580709
'MATCH ODDS',1.67,219.694724
'ASIAN HANDICAP',1.9,2028.933036
'ASIAN HANDICAP',1.85,2427.385526
'OVER / UNDER',2.31,422.883891
'ASIAN HANDICAP',2.14,2059.58826
'ASIAN HANDICAP',1.89,2082.219047
'ASIAN HANDICAP',2.58,1973.942492
'MATCH ODDS',2.56,1742.268654
'ASIAN HANDICAP',2.01,1953.759189
'ASIAN HANDICAP',1.83,207.67219
'OVER / UNDER',2.12,1766.540211
'OVER / UNDER',1.81,1769.122395
'MATCH ODDS',3.49,219.694724
'ASIAN HANDICAP',2.14,1999.463417
'ASIAN HANDICAP',2.06,2427.385526
'MATCH ODDS',2.08,1801.404579
'MATCH ODDS',2.44,1802.095283
'MATCH ODDS',1.88,1801.516283
'OVER / UNDER',2.05,1767.962538
'ASIAN HANDICAP',1.98,2005.505838
'ASIAN HANDICAP',1.73,1929.371535
'OVER / UNDER',2.13,422.883891
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',3.35,1914.386803
'OVER / UNDER',2.25,1751.833228
'ASIAN HANDICAP',1.83,1952.979005
'ASIAN HANDICAP',2.12,1953.921491
'OVER / UNDER',1.82,1783.442384
'ASIAN HANDICAP',1.87,1992.630884
'ASIAN HANDICAP',1.99,1942.997099
'ASIAN HANDICAP',1.95,2002.710353
'ASIAN HANDICAP',1.72,1962.159681
'MATCH ODDS',2.05,1769.85585
'MATCH ODDS',2.05,1769.85585
'ASIAN HANDICAP',2.11,1943.26468
'ASIAN HANDICAP',1.95,2069.715486
'OVER / UNDER',2.12,1766.540211
'MATCH ODDS',2.11,1769.969076
'ASIAN HANDICAP',2.13,1956.35042
'ASIAN HANDICAP',2.22,1943.472253
'ASIAN HANDICAP',2.28,1927.636174
'ASIAN HANDICAP',1.82,1979.673683
'MATCH ODDS',1.85,1768.975491
'ASIAN HANDICAP',1.92,1988.365025
'MATCH ODDS',2.36,1753.057884
'ASIAN HANDICAP',2.38,1957.480949
'OVER / UNDER',2.17,1761.663123
'MATCH ODDS',1.85,1768.975491
'ASIAN HANDICAP',2.01,1942.997099
'MATCH ODDS',2.29,1754.075959
'ASIAN HANDICAP',1.83,2082.196843
'ASIAN HANDICAP',2.09,1944.036127
'ASIAN HANDICAP',2.27,1986.104513
'ASIAN HANDICAP',2.03,2071.611199
'ASIAN HANDICAP',1.84,2059.890914
'ASIAN HANDICAP',1.89,1593.703026
'MATCH ODDS',2.58,1743.971701
'ASIAN HANDICAP',1.81,2427.385526
'ASIAN HANDICAP',1.75,2055.892753
'ASIAN HANDICAP',2,1582.242041
'ASIAN HANDICAP',1.98,1959.878947
'ASIAN HANDICAP',2.38,1965.100584
'OVER / UNDER',1.88,1772.232992
'ASIAN HANDICAP',1.93,1970.613759
'OVER / UNDER',1.92,1771.797239
'MATCH ODDS',2.31,1751.45385
'MATCH ODDS',2.12,1768.219458
'MATCH ODDS',2.12,1769.863797
'ASIAN HANDICAP',1.86,1947.454479
'ASIAN HANDICAP',1.84,1994.60199
'OVER / UNDER',1.72,1766.707978
'MATCH ODDS',1.81,1770.783127
'MATCH ODDS',2.54,1742.268654
'OVER / UNDER',2.13,1764.319968
'ASIAN HANDICAP',1.93,918.21491
'ASIAN HANDICAP',1.94,1591.230247
'MATCH ODDS',1.89,2017.209943
'ASIAN HANDICAP',1.97,2030.241944
'MATCH ODDS',1.84,1770.624596
'ASIAN HANDICAP',1.95,2076.485429
'ASIAN HANDICAP',2.31,1339.45692
'ASIAN HANDICAP',2.03,1973.690246
'OVER / UNDER',2.08,1767.757253
'ASIAN HANDICAP',1.96,1958.592553
'ASIAN HANDICAP',1.88,1953.996277
'ASIAN HANDICAP',1.7,1928.567394
'ASIAN HANDICAP',1.84,2043.48688
'ASIAN HANDICAP',1.98,2068.732317
'MATCH ODDS',2.11,1802.095283
'ASIAN HANDICAP',2.36,1926.55546
'ASIAN HANDICAP',2.1,1943.702039
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.94,2029.710691
'MATCH ODDS',3.6,1715.13114
'ASIAN HANDICAP',2.03,2063.454589
'ASIAN HANDICAP',2.17,1953.71038
'ASIAN HANDICAP',1.85,1962.409212
'ASIAN HANDICAP',2.16,1148.999354
'OVER / UNDER',1.73,1766.707978
'ASIAN HANDICAP',2.06,1997.373451
'ASIAN HANDICAP',1.74,1968.042285
'MATCH ODDS',1.93,219.694724
'OVER / UNDER',1.98,429.760849
'MATCH ODDS',1.99,1769.94531
'ASIAN HANDICAP',1.88,2000.975625
'MATCH ODDS',3.38,1825.408744
'ASIAN HANDICAP',1.95,1985.489051
'ASIAN HANDICAP',1.79,1976.035356
'MATCH ODDS',2.1,210.02033
'OVER / UNDER',2.27,210.02033
'OVER / UNDER',2.11,210.02033
'OVER / UNDER',2.21,241.763191
'ASIAN HANDICAP',1.99,2023.75344
'ASIAN HANDICAP',1.98,2025.449242
'MATCH ODDS',3.32,219.694724
'MATCH ODDS',1.6,219.694724
'MATCH ODDS',3.42,219.694724
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',2.22,1952.87732
'ASIAN HANDICAP',1.83,2126.726301
'MATCH ODDS',1.83,219.694724
'OVER / UNDER',1.94,1772.136903
'ASIAN HANDICAP',2.23,1958.480034
'ASIAN HANDICAP',2.21,1958.175243
'ASIAN HANDICAP',2.07,2061.79242
'ASIAN HANDICAP',1.84,2022.903948
'ASIAN HANDICAP',2.26,1927.636174
'MATCH ODDS',2.1,1768.818655
'ASIAN HANDICAP',1.99,2075.258388
'OVER / UNDER',2,1766.786719
'ASIAN HANDICAP',2.03,1380.181292
'MATCH ODDS',2.67,1742.528098
'ASIAN HANDICAP',1.99,207.67219
'MATCH ODDS',1.77,1768.998886
'ASIAN HANDICAP',1.88,2000.975625
'OVER / UNDER',2.09,1767.440236
'OVER / UNDER',2.17,210.02033
'ASIAN HANDICAP',2,1958.164703
'MATCH ODDS',2.65,1800.310157
'ASIAN HANDICAP',2.02,924.944113
'ASIAN HANDICAP',1.8,2074.792677
'MATCH ODDS',2.05,219.694724
'ASIAN HANDICAP',2.16,2017.452874
'ASIAN HANDICAP',1.88,2082.219047
'OVER / UNDER',2.03,1749.775774
'ASIAN HANDICAP',1.88,1572.060869
'OVER / UNDER',1.87,1772.232992
'ASIAN HANDICAP',2.19,1930.053768
'ASIAN HANDICAP',1.86,1947.454479
'ASIAN HANDICAP',1.94,443.474477
'OVER / UNDER',2.4,1748.375128
'OVER / UNDER',2.71,1735.933288
'ASIAN HANDICAP',1.97,2001.44713
'ASIAN HANDICAP',1.78,1451.624936
'MATCH ODDS',1.81,1770.783127
'ASIAN HANDICAP',2.65,1916.67205
'MATCH ODDS',2.5,1751.668664
'MATCH ODDS',1.75,1770.643224
'OVER / UNDER',2.21,1751.633162
'ASIAN HANDICAP',2.4,1595.166199
'ASIAN HANDICAP',1.99,2024.793038
'MATCH ODDS',2.52,1746.897083
'MATCH ODDS',3.4,219.694724
'OVER / UNDER',2.28,1750.687461
'MATCH ODDS',2.15,219.694724
'ASIAN HANDICAP',1.86,1962.476911
'MATCH ODDS',1.95,1398.082164
'ASIAN HANDICAP',1.94,1370.798093
'MATCH ODDS',2.75,1740.433199
'ASIAN HANDICAP',1.76,748.984773
'OVER / UNDER',2.21,210.02033
'OVER / UNDER',1.75,210.02033
'MATCH ODDS',2.51,748.984773
