@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-2

@attribute Tipster {'Jorge Aragundy','Anton Ebdon','Daniel Larsen','Simeone Tassini','Chris Tomas','Christopher Silenos','Jeremy Price','Gabriel Elias','Jason Mills','Darijo Belic','Eduardo Borrero','Silvio Bonatti','Robert Volkan','Achille Piecheur','Ivan Kacic','Amar Sidran','Radek Kovar','Neil Baxter','Burke Ziobro','Sony Luiz','Hubert Tisci',Bettingspaintips,'Charlie Bryson','Eli Pickard','Rosario Barone',Knipser,'Aurelien Delon','Francesco Alinari','Frankie Geary','Owen Garth','Blake Foss','Rufus Rasco'}
@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric
@attribute Take numeric

@data
'Christopher Silenos','MATCH ODDS',1.81,1801.516283,60
'Jeremy Price','ASIAN HANDICAP',2.9,704.072509,100
'Darijo Belic','ASIAN HANDICAP',2.67,1950.348742,60
'Jeremy Price','ASIAN HANDICAP',2.85,422.873366,100
'Jeremy Price','MATCH ODDS',1.91,1774.286217,100
'Gabriel Elias','MATCH ODDS',3.42,1715.260137,30
'Darijo Belic','ASIAN HANDICAP',3.01,1997.805846,60
'Jeremy Price','ASIAN HANDICAP',2.94,1971.2081,100
'Simeone Tassini','ASIAN HANDICAP',2.92,2002.126419,100
'Darijo Belic','MATCH ODDS',1.53,1730.425337,50
'Jeremy Price','ASIAN HANDICAP',2.92,257.104679,100
'Simeone Tassini','ASIAN HANDICAP',3.02,2064.14544,80
'Christopher Silenos','MATCH ODDS',1.83,1801.516283,60
'Chris Tomas','MATCH ODDS',1.91,219.694724,70
'Darijo Belic','MATCH ODDS',1.83,1770.783127,80
'Daniel Larsen','ASIAN HANDICAP',2.98,2025.449242,80
'Gabriel Elias','MATCH ODDS',3.47,1715.13114,20
'Christopher Silenos','MATCH ODDS',2.23,1802.095283,60
'Christopher Silenos','MATCH ODDS',2.3,1801.404579,60
'Christopher Silenos','MATCH ODDS',1.84,1801.516283,60
'Darijo Belic','ASIAN HANDICAP',2.7,1962.320545,60
'Jorge Aragundy','ASIAN HANDICAP',2.94,2081.080113,60
'Christopher Silenos','MATCH ODDS',2.13,1802.095283,60
'Daniel Larsen','ASIAN HANDICAP',2.98,2005.505838,80
'Chris Tomas','ASIAN HANDICAP',2.86,207.67219,70
'Darijo Belic','ASIAN HANDICAP',2.79,2055.820514,60
'Jorge Aragundy','ASIAN HANDICAP',3,2064.151369,60
'Jeremy Price','ASIAN HANDICAP',2.93,2081.25821,100
'Darijo Belic','ASIAN HANDICAP',2.92,1109.955646,70
'Chris Tomas','ASIAN HANDICAP',2.95,2397.006735,70
'Daniel Larsen','ASIAN HANDICAP',2.91,2452.211804,80
'Chris Tomas','ASIAN HANDICAP',2.85,2410.319627,70
'Darijo Belic','ASIAN HANDICAP',3.03,1996.626279,40
'Simeone Tassini','MATCH ODDS',1.91,1774.286217,100
'Chris Tomas','ASIAN HANDICAP',2.96,748.984773,100
'Jeremy Price','ASIAN HANDICAP',3,2023.75344,100
'Simeone Tassini','OVER / UNDER',2.83,1771.869012,80
'Chris Tomas','ASIAN HANDICAP',2.81,748.984773,100
'Simeone Tassini','ASIAN HANDICAP',2.92,1976.695226,80
'Daniel Larsen','ASIAN HANDICAP',2.85,1936.639721,80
'Chris Tomas','ASIAN HANDICAP',2.85,1212.227176,80
'Chris Tomas','ASIAN HANDICAP',3,1329.541011,80
'Daniel Larsen','MATCH ODDS',1.73,1098.896498,80
'Simeone Tassini','ASIAN HANDICAP',2.9,1281.035978,60
'Jeremy Price','ASIAN HANDICAP',2.84,2062.409327,100
'Gabriel Elias','MATCH ODDS',3.38,1715.260137,40
'Simeone Tassini','ASIAN HANDICAP',2.98,1959.878947,80
'Christopher Silenos','MATCH ODDS',3.69,1825.408744,60
'Gabriel Elias','ASIAN HANDICAP',3.14,1940.950141,40
'Simeone Tassini','ASIAN HANDICAP',2.91,2029.924004,100
'Gabriel Elias','MATCH ODDS',3.38,1715.260137,20
'Jeremy Price','ASIAN HANDICAP',3.06,1944.428589,100
'Chris Tomas','ASIAN HANDICAP',2.79,1968.007124,100
'Simeone Tassini','MATCH ODDS',1.98,1769.733778,100
'Christopher Silenos','MATCH ODDS',2,1801.404579,60
'Simeone Tassini','OVER / UNDER',2.93,1771.797239,100
'Daniel Larsen','MATCH ODDS',2.5,1753.373338,80
'Jorge Aragundy','ASIAN HANDICAP',2.89,1937.033215,70
'Daniel Larsen','ASIAN HANDICAP',2.89,2435.567646,80
'Daniel Larsen','ASIAN HANDICAP',2.88,1967.71726,80
'Chris Tomas','ASIAN HANDICAP',3.01,207.67219,100
'Christopher Silenos','MATCH ODDS',3.59,1825.408744,60
'Christopher Silenos','MATCH ODDS',1.81,1801.516283,60
'Christopher Silenos','MATCH ODDS',2.01,1801.404579,60
'Christopher Silenos','MATCH ODDS',2.7,1800.310157,60
'Daniel Larsen','ASIAN HANDICAP',3.04,2024.096258,80
'Chris Tomas','ASIAN HANDICAP',3.09,2397.006735,100
'Daniel Larsen','ASIAN HANDICAP',2.79,2397.006735,80
'Simeone Tassini','MATCH ODDS',2.5,1753.373338,80
'Gabriel Elias','MATCH ODDS',3.6,1715.13114,20
'Jeremy Price','ASIAN HANDICAP',2.98,2026.48884,100
'Simeone Tassini','ASIAN HANDICAP',2.93,2081.25821,100
'Simeone Tassini','ASIAN HANDICAP',2.9,1961.367365,100
'Darijo Belic','ASIAN HANDICAP',2.92,2005.356418,40
'Chris Tomas','MATCH ODDS',2.14,219.694724,100
'Darijo Belic','ASIAN HANDICAP',3.04,2428.609079,60
'Darijo Belic','ASIAN HANDICAP',2.75,2014.994089,60
'Simeone Tassini','ASIAN HANDICAP',3.03,2061.4478,100
'Simeone Tassini','ASIAN HANDICAP',2.87,1994.971435,100
'Jeremy Price','ASIAN HANDICAP',2.84,1979.673683,100
'Simeone Tassini','ASIAN HANDICAP',3,1984.044452,80
'Daniel Larsen','ASIAN HANDICAP',2.94,2428.609079,80
'Simeone Tassini','MATCH ODDS',2.05,1769.85585,100
'Simeone Tassini','ASIAN HANDICAP',2.94,2002.080581,100
'Daniel Larsen','ASIAN HANDICAP',2.99,1616.703431,80
'Christopher Silenos','MATCH ODDS',2.65,1800.310157,60
'Chris Tomas','ASIAN HANDICAP',2.8,1967.819209,100
'Jeremy Price','ASIAN HANDICAP',2.93,1956.75824,100
'Jason Mills','MATCH ODDS',2.1,219.694724,60
'Jason Mills','MATCH ODDS',2.2,219.694724,60
'Jason Mills','MATCH ODDS',1.95,219.694724,60
'Jason Mills','MATCH ODDS',3.2,219.694724,60
'Jason Mills','MATCH ODDS',2.45,219.694724,60
'Jeremy Price','ASIAN HANDICAP',2.96,2030.241944,100
'Christopher Silenos','MATCH ODDS',2.17,1801.404579,60
'Chris Tomas','ASIAN HANDICAP',2.96,207.67219,100
'Darijo Belic','ASIAN HANDICAP',2.7,2072.181396,40
'Chris Tomas','ASIAN HANDICAP',3.02,1592.566698,100
'Simeone Tassini','ASIAN HANDICAP',2.96,1988.859374,100
'Darijo Belic','OVER / UNDER',2.73,1766.707978,60
'Simeone Tassini','OVER / UNDER',2.94,1772.136903,100
'Darijo Belic','MATCH ODDS',2,419.450713,60
'Christopher Silenos','MATCH ODDS',2.04,1802.095283,60
'Chris Tomas','ASIAN HANDICAP',2.82,207.67219,100
'Jason Mills','MATCH ODDS',4.2,219.694724,80
'Christopher Silenos','MATCH ODDS',2.35,1802.095283,60
'Jeremy Price','ASIAN HANDICAP',2.8,1979.678222,100
'Christopher Silenos','MATCH ODDS',2.29,1801.404579,60
'Simeone Tassini','MATCH ODDS',2.1,1340.078869,100
'Darijo Belic','ASIAN HANDICAP',3.03,2063.454589,60
'Jeremy Price','ASIAN HANDICAP',2.98,1998.32801,100
'Daniel Larsen','ASIAN HANDICAP',2.92,1572.538472,80
'Darijo Belic','MATCH ODDS',1.8,1534.44541,60
'Chris Tomas','ASIAN HANDICAP',2.97,2452.211804,100
'Gabriel Elias','MATCH ODDS',4.47,1712.705652,20
'Chris Tomas','MATCH ODDS',1.77,748.984773,100
'Daniel Larsen','ASIAN HANDICAP',2.98,748.984773,80
'Darijo Belic','ASIAN HANDICAP',2.76,1952.915227,60
'Gabriel Elias','MATCH ODDS',1.78,748.984773,30
'Jeremy Price','ASIAN HANDICAP',3.14,1940.950141,100
'Simeone Tassini','MATCH ODDS',1.89,748.984773,100
'Darijo Belic','MATCH ODDS',1.7,1766.022708,60
'Daniel Larsen','MATCH ODDS',2.25,749.056645,80
'Darijo Belic','MATCH ODDS',2.3,749.056645,60
'Simeone Tassini','MATCH ODDS',2.3,749.056645,100
'Chris Tomas','ASIAN HANDICAP',2.8,748.984773,100
'Daniel Larsen','ASIAN HANDICAP',2.86,748.984773,80
'Darijo Belic','MATCH ODDS',1.67,1763.553077,60
'Daniel Larsen','ASIAN HANDICAP',2.83,1229.547506,80
'Simeone Tassini','ASIAN HANDICAP',2.81,1235.564505,100
'Jorge Aragundy','ASIAN HANDICAP',2.98,2065.84717,40
'Darijo Belic','ASIAN HANDICAP',2.91,2069.299808,60
'Christopher Silenos','MATCH ODDS',2.18,1802.095283,60
'Darijo Belic','MATCH ODDS',1.8,1770.787666,60
'Jeremy Price','ASIAN HANDICAP',3.28,2007.097413,100
'Simeone Tassini','MATCH ODDS',1.83,1769.138789,100
'Chris Tomas','MATCH ODDS',2.15,1766.00466,100
'Gabriel Elias','ASIAN HANDICAP',3.4,1928.657856,40
'Jason Mills','MATCH ODDS',2.6,219.694724,80
'Gabriel Elias','ASIAN HANDICAP',2.84,1979.673683,40
'Gabriel Elias','MATCH ODDS',3.2,1740.243885,20
'Gabriel Elias','ASIAN HANDICAP',2.71,1967.042745,70
'Jason Mills','MATCH ODDS',1.67,219.694724,80
'Jason Mills','MATCH ODDS',1.85,219.694724,80
'Jason Mills','MATCH ODDS',3.3,219.694724,80
'Jeremy Price','MATCH ODDS',1.85,1770.619829,100
'Jeremy Price','ASIAN HANDICAP',2.9,1956.94682,100
'Jeremy Price','ASIAN HANDICAP',2.92,1970.613759,100
'Chris Tomas','ASIAN HANDICAP',2.96,2165.570135,100
'Christopher Silenos','MATCH ODDS',1.79,1801.516283,60
'Gabriel Elias','MATCH ODDS',5.69,1735.641372,20
'Jason Mills','MATCH ODDS',3.48,219.694724,40
'Darijo Belic','ASIAN HANDICAP',2.79,2053.302102,60
'Darijo Belic','OVER / UNDER',2.8,1769.126934,60
'Simeone Tassini','OVER / UNDER',2.99,1766.588558,60
'Jeremy Price','ASIAN HANDICAP',3.22,2006.982343,100
'Jeremy Price','ASIAN HANDICAP',3.05,1975.527779,100
'Jeremy Price','MATCH ODDS',1.91,1774.286217,100
'Gabriel Elias','MATCH ODDS',3.38,1715.260137,20
'Gabriel Elias','ASIAN HANDICAP',4.39,1914.386803,20
'Jeremy Price','ASIAN HANDICAP',3.03,1942.99117,100
'Jason Mills','MATCH ODDS',3.2,219.694724,80
'Darijo Belic','ASIAN HANDICAP',2.81,2082.196843,40
'Jason Mills','MATCH ODDS',1.8,219.694724,80
'Jeremy Price','ASIAN HANDICAP',3.07,1969.037084,100
'Daniel Larsen','ASIAN HANDICAP',3.16,2428.609079,80
'Chris Tomas','ASIAN HANDICAP',2.88,2159.749549,100
'Christopher Silenos','MATCH ODDS',3.44,1825.408744,60
'Christopher Silenos','MATCH ODDS',1.86,1801.516283,60
'Jeremy Price','ASIAN HANDICAP',2.93,1988.365025,100
'Jeremy Price','ASIAN HANDICAP',2.91,1976.862701,100
'Chris Tomas','ASIAN HANDICAP',2.87,207.67219,100
'Darijo Belic','ASIAN HANDICAP',3.02,2075.955662,60
'Simeone Tassini','MATCH ODDS',2.08,1771.096742,80
'Jeremy Price','ASIAN HANDICAP',3.07,2024.834315,100
'Jeremy Price','ASIAN HANDICAP',2.95,2069.715486,100
'Jeremy Price','ASIAN HANDICAP',2.98,1955.473433,100
'Chris Tomas','ASIAN HANDICAP',3.04,2397.006735,100
'Daniel Larsen','ASIAN HANDICAP',2.96,2441.116085,80
'Jason Mills','MATCH ODDS',1.88,219.694724,80
'Jeremy Price','ASIAN HANDICAP',3.1,2062.36252,100
'Jeremy Price','ASIAN HANDICAP',3.02,1958.158775,100
'Darijo Belic','ASIAN HANDICAP',2.85,2062.40456,60
'Darijo Belic','ASIAN HANDICAP',2.88,1992.00234,60
'Jeremy Price','ASIAN HANDICAP',2.84,1936.644488,100
'Darijo Belic','ASIAN HANDICAP',2.77,2076.121796,60
'Chris Tomas','ASIAN HANDICAP',2.91,748.984773,100
'Darijo Belic','MATCH ODDS',2.1,1770.462993,60
'Simeone Tassini','MATCH ODDS',2.1,1770.462993,100
'Jeremy Price','ASIAN HANDICAP',2.83,2082.812,100
'Jeremy Price','ASIAN HANDICAP',3.07,2067.996359,100
'Chris Tomas','ASIAN HANDICAP',2.97,1301.887068,100
'Jeremy Price','ASIAN HANDICAP',2.82,2023.077578,100
'Simeone Tassini','ASIAN HANDICAP',2.81,1277.416434,100
'Simeone Tassini','OVER / UNDER',2.81,1204.989929,80
'Daniel Larsen','ASIAN HANDICAP',3.16,1301.368486,80
'Chris Tomas','ASIAN HANDICAP',2.83,1593.703026,100
'Darijo Belic','ASIAN HANDICAP',2.99,1997.805846,60
'Gabriel Elias','MATCH ODDS',2.52,1748.601756,30
'Gabriel Elias','MATCH ODDS',1.75,1768.998886,40
'Gabriel Elias','MATCH ODDS',1.96,1774.809767,50
'Gabriel Elias','MATCH ODDS',2.45,1751.695256,30
'Jason Mills','MATCH ODDS',1.62,219.694724,60
'Chris Tomas','ASIAN HANDICAP',2.98,207.67219,100
'Christopher Silenos','MATCH ODDS',2,1802.095283,60
'Gabriel Elias','ASIAN HANDICAP',2.73,2050.77265,60
'Chris Tomas','ASIAN HANDICAP',3.03,2397.006735,100
'Jason Mills','MATCH ODDS',3.4,219.694724,60
'Jason Mills','MATCH ODDS',3.68,219.694724,60
'Jason Mills','MATCH ODDS',2.5,219.694724,60
'Jason Mills','MATCH ODDS',1.83,219.694724,60
'Jeremy Price','ASIAN HANDICAP',2.99,1984.044452,100
'Jeremy Price','ASIAN HANDICAP',2.98,2026.48884,100
'Christopher Silenos','MATCH ODDS',2.39,1802.095283,60
'Darijo Belic','ASIAN HANDICAP',2.84,1992.421663,60
'Jason Mills','MATCH ODDS',2.25,219.694724,60
'Chris Tomas','ASIAN HANDICAP',2.85,2142.5601,100
'Christopher Silenos','MATCH ODDS',2.37,1801.404579,60
'Simeone Tassini','MATCH ODDS',1.81,1770.783127,80
'Daniel Larsen','ASIAN HANDICAP',2.82,1994.60199,80
'Gabriel Elias','MATCH ODDS',3.3,1715.260137,20
'Gabriel Elias','ASIAN HANDICAP',3,1984.044452,40
'Jason Mills','MATCH ODDS',2.7,219.694724,80
'Jason Mills','MATCH ODDS',2.49,219.694724,80
'Daniel Larsen','ASIAN HANDICAP',2.82,2023.077578,80
'Christopher Silenos','MATCH ODDS',2.12,1801.404579,60
'Gabriel Elias','ASIAN HANDICAP',3.55,1918.028107,40
'Darijo Belic','MATCH ODDS',1.91,1772.641879,80
'Darijo Belic','MATCH ODDS',1.95,1774.987331,60
'Jason Mills','MATCH ODDS',1.85,219.694724,80
'Daniel Larsen','ASIAN HANDICAP',3.05,2397.006735,80
'Gabriel Elias','MATCH ODDS',2.35,1751.445532,20
'Chris Tomas','ASIAN HANDICAP',2.79,2159.749549,100
'Christopher Silenos','MATCH ODDS',2.49,1801.404579,60
'Christopher Silenos','MATCH ODDS',1.94,1801.516283,60
'Christopher Silenos','MATCH ODDS',1.81,1801.516283,60
'Chris Tomas','ASIAN HANDICAP',2.74,207.67219,100
'Christopher Silenos','MATCH ODDS',1.81,1802.206987,60
'Jorge Aragundy','ASIAN HANDICAP',2.85,1992.416897,60
'Jeremy Price','ASIAN HANDICAP',2.96,1962.998067,100
'Jeremy Price','ASIAN HANDICAP',3.19,1930.053768,100
'Jeremy Price','ASIAN HANDICAP',3.19,257.104679,100
'Gabriel Elias','ASIAN HANDICAP',3.28,2045.885093,20
'Darijo Belic','ASIAN HANDICAP',2.79,2016.473072,60
'Chris Tomas','ASIAN HANDICAP',2.83,1591.752954,100
'Chris Tomas','ASIAN HANDICAP',3.07,1955.181565,100
'Simeone Tassini','MATCH ODDS',2.1,1770.462993,100
'Darijo Belic','ASIAN HANDICAP',2.94,2029.710691,60
'Jeremy Price','ASIAN HANDICAP',3.1,749.056645,100
'Daniel Larsen','ASIAN HANDICAP',2.82,749.056645,80
'Simeone Tassini','ASIAN HANDICAP',3.02,1984.038524,100
'Daniel Larsen','ASIAN HANDICAP',2.87,2023.113169,80
'Darijo Belic','ASIAN HANDICAP',2.8,2000.944573,60
'Darijo Belic','MATCH ODDS',1.62,1756.532038,60
'Daniel Larsen','ASIAN HANDICAP',2.86,2022.966881,80
'Daniel Larsen','ASIAN HANDICAP',2.88,2022.484624,80
'Chris Tomas','ASIAN HANDICAP',2.76,2055.892753,100
'Daniel Larsen','ASIAN HANDICAP',3.11,2073.376533,80
'Simeone Tassini','ASIAN HANDICAP',2.88,2061.990003,100
'Darijo Belic','ASIAN HANDICAP',2.97,2069.600275,60
'Simeone Tassini','ASIAN HANDICAP',2.97,2069.600275,100
'Simeone Tassini','MATCH ODDS',1.79,1770.439308,100
'Jeremy Price','ASIAN HANDICAP',2.81,1952.979005,100
'Jeremy Price','ASIAN HANDICAP',2.9,1946.199761,100
'Simeone Tassini','ASIAN HANDICAP',2.89,1992.00234,100
'Jeremy Price','ASIAN HANDICAP',3.09,1954.798217,100
'Jeremy Price','ASIAN HANDICAP',3.06,2048.04698,100
'Simeone Tassini','ASIAN HANDICAP',2.8,1992.599832,80
'Jeremy Price','ASIAN HANDICAP',3,2064.151369,100
'Chris Tomas','ASIAN HANDICAP',2.94,2004.816938,100
'Jeremy Price','ASIAN HANDICAP',3.01,2067.018073,100
'Daniel Larsen','ASIAN HANDICAP',2.96,2080.707294,80
'Simeone Tassini','ASIAN HANDICAP',2.82,749.056645,80
'Jeremy Price','ASIAN HANDICAP',2.9,2001.168885,100
'Simeone Tassini','ASIAN HANDICAP',2.94,1957.352581,100
'Chris Tomas','ASIAN HANDICAP',2.75,2014.994089,100
'Daniel Larsen','ASIAN HANDICAP',3.01,2047.05958,80
'Jeremy Price','ASIAN HANDICAP',3.25,1938.353327,100
'Jeremy Price','ASIAN HANDICAP',2.93,2002.126419,100
'Chris Tomas','ASIAN HANDICAP',3.07,1984.776581,100
'Chris Tomas','ASIAN HANDICAP',2.76,2079.327238,100
'Jeremy Price','ASIAN HANDICAP',3.09,2023.076636,100
'Jeremy Price','MATCH ODDS',1.97,1774.809767,100
'Jeremy Price','ASIAN HANDICAP',3.14,1980.721835,100
'Jeremy Price','ASIAN HANDICAP',2.93,2069.132333,100
'Simeone Tassini','ASIAN HANDICAP',2.84,1992.421663,80
'Daniel Larsen','MATCH ODDS',3.1,1740.243885,80
'Darijo Belic','ASIAN HANDICAP',2.83,2000.940034,60
'Chris Tomas','ASIAN HANDICAP',2.9,2075.145102,50
'Daniel Larsen','ASIAN HANDICAP',3.02,2024.78711,80
'Darijo Belic','ASIAN HANDICAP',2.87,1593.225423,60
'Gabriel Elias','MATCH ODDS',1.89,1771.073127,30
'Gabriel Elias','MATCH ODDS',3.34,1715.260137,20
'Jeremy Price','ASIAN HANDICAP',3.32,2005.270522,100
'Eduardo Borrero','MATCH ODDS',2.1,1770.462993,80
'Gabriel Elias','ASIAN HANDICAP',4,1914.535596,20
'Jason Mills','MATCH ODDS',2.5,219.694724,60
'Darijo Belic','ASIAN HANDICAP',2.73,2070.386537,60
'Chris Tomas','ASIAN HANDICAP',2.91,871.999788,100
'Simeone Tassini','ASIAN HANDICAP',3.06,1944.428589,80
'Jason Mills','MATCH ODDS',2.27,219.694724,60
'Jason Mills','MATCH ODDS',3.52,219.694724,60
'Jason Mills','MATCH ODDS',2.21,219.694724,60
'Jason Mills','MATCH ODDS',1.83,219.694724,60
'Jason Mills','MATCH ODDS',3.32,219.694724,60
'Jeremy Price','ASIAN HANDICAP',2.92,1946.011181,100
'Jeremy Price','ASIAN HANDICAP',2.96,1958.592553,100
'Chris Tomas','ASIAN HANDICAP',2.92,207.67219,100
'Jeremy Price','ASIAN HANDICAP',3.08,2002.710217,100
'Eduardo Borrero','OVER / UNDER',2.93,1794.191792,80
'Eduardo Borrero','ASIAN HANDICAP',3,1953.759189,60
'Jeremy Price','ASIAN HANDICAP',3.3,2005.273099,100
'Eduardo Borrero','ASIAN HANDICAP',2.98,2026.48884,80
'Jeremy Price','ASIAN HANDICAP',2.95,2069.715486,100
'Jeremy Price','ASIAN HANDICAP',3.86,1972.105962,100
'Gabriel Elias','MATCH ODDS',1.97,1773.165429,30
'Gabriel Elias','ASIAN HANDICAP',3.86,1914.536823,20
'Darijo Belic','MATCH ODDS',1.8,1770.787666,60
'Jeremy Price','ASIAN HANDICAP',3.51,1923.173017,100
'Jeremy Price','MATCH ODDS',2.56,1743.973328,100
'Simeone Tassini','ASIAN HANDICAP',2.95,1958.690747,80
'Christopher Silenos','MATCH ODDS',3.57,1825.408744,60
'Jeremy Price','ASIAN HANDICAP',3.11,2022.296897,100
'Daniel Larsen','ASIAN HANDICAP',3.08,2024.048731,80
'Eduardo Borrero','ASIAN HANDICAP',2.86,2022.966881,80
'Chris Tomas','ASIAN HANDICAP',3.19,2397.006735,50
'Christopher Silenos','MATCH ODDS',1.9,1801.516283,60
'Christopher Silenos','MATCH ODDS',1.82,1801.516283,60
'Christopher Silenos','MATCH ODDS',3.48,1825.408744,60
'Daniel Larsen','ASIAN HANDICAP',3.04,2024.096258,80
'Jeremy Price','ASIAN HANDICAP',3.29,2006.93663,100
'Eduardo Borrero','MATCH ODDS',2.24,1753.610574,60
'Chris Tomas','ASIAN HANDICAP',2.96,2397.006735,100
'Daniel Larsen','ASIAN HANDICAP',3.35,1574.001645,80
'Gabriel Elias','ASIAN HANDICAP',3.63,1916.673203,20
'Simeone Tassini','MATCH ODDS',2.15,1767.648998,80
'Jason Mills','MATCH ODDS',2.2,219.694724,60
'Anton Ebdon','OVER / UNDER',3.06,210.02033,50
'Anton Ebdon','OVER / UNDER',3.42,210.02033,60
'Anton Ebdon','OVER / UNDER',3.12,748.984773,50
'Anton Ebdon','MATCH ODDS',2.15,1766.00466,80
'Chris Tomas','ASIAN HANDICAP',2.95,748.984773,100
'Daniel Larsen','ASIAN HANDICAP',3.3,748.984773,80
'Eduardo Borrero','MATCH ODDS',2.04,748.984773,80
'Gabriel Elias','MATCH ODDS',2.25,748.984773,30
'Jeremy Price','ASIAN HANDICAP',3.04,1942.99117,100
'Jeremy Price','ASIAN HANDICAP',3.29,2006.93663,100
'Chris Tomas','ASIAN HANDICAP',2.91,2008.298084,100
'Daniel Larsen','ASIAN HANDICAP',3.25,2007.029929,80
'Anton Ebdon','MATCH ODDS',1.7,210.02033,50
'Anton Ebdon','OVER / UNDER',3.09,748.984773,60
'Anton Ebdon','ASIAN HANDICAP',2.86,748.984773,80
'Simeone Tassini','ASIAN HANDICAP',2.98,748.984773,100
'Darijo Belic','OVER / UNDER',2.75,1768.925555,50
'Chris Tomas','ASIAN HANDICAP',2.83,1081.255947,100
'Eduardo Borrero','ASIAN HANDICAP',2.66,1235.564505,100
'Simeone Tassini','ASIAN HANDICAP',2.93,1229.547506,80
'Jeremy Price','ASIAN HANDICAP',3.02,1973.690246,100
'Darijo Belic','MATCH ODDS',1.91,1774.286217,60
'Chris Tomas','ASIAN HANDICAP',3.09,1974.735203,50
'Gabriel Elias','MATCH ODDS',3.38,1715.260137,20
'Daniel Larsen','ASIAN HANDICAP',2.96,1947.830462,80
'Darijo Belic','OVER / UNDER',2.8,1768.928773,60
'Anton Ebdon','ASIAN HANDICAP',2.99,2064.151369,60
'Eduardo Borrero','ASIAN HANDICAP',3.03,1953.753261,80
'Anton Ebdon','ASIAN HANDICAP',2.99,1996.632208,70
'Anton Ebdon','ASIAN HANDICAP',3.18,1961.07246,70
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,50
'Anton Ebdon','ASIAN HANDICAP',3.2,1930.053768,60
'Anton Ebdon','MATCH ODDS',2.6,1742.529252,80
'Gabriel Elias','ASIAN HANDICAP',3.2,1984.00221,30
'Gabriel Elias','ASIAN HANDICAP',2.88,1953.996277,40
'Anton Ebdon','ASIAN HANDICAP',3.33,210.02033,80
'Jason Mills','MATCH ODDS',2.8,219.694724,60
'Jeremy Price','MATCH ODDS',2.37,1753.360257,100
'Darijo Belic','ASIAN HANDICAP',2.77,1995.262825,50
'Chris Tomas','ASIAN HANDICAP',2.97,207.67219,100
'Simeone Tassini','ASIAN HANDICAP',2.84,2022.903948,100
'Gabriel Elias','ASIAN HANDICAP',3.39,1938.61637,20
'Gabriel Elias','ASIAN HANDICAP',2.92,1961.178786,30
'Anton Ebdon','MATCH ODDS',1.8,210.02033,60
'Anton Ebdon','MATCH ODDS',2.6,219.694724,60
'Anton Ebdon','ASIAN HANDICAP',3.08,207.67219,80
'Eduardo Borrero','OVER / UNDER',3.04,1789.221814,80
'Jason Mills','MATCH ODDS',2.6,219.694724,60
'Jason Mills','MATCH ODDS',2.25,219.694724,60
'Jason Mills','MATCH ODDS',2.6,219.694724,60
'Jason Mills','MATCH ODDS',1.86,219.694724,60
'Jeremy Price','ASIAN HANDICAP',3.22,1938.238257,100
'Jeremy Price','ASIAN HANDICAP',2.86,1947.454479,100
'Daniel Larsen','ASIAN HANDICAP',2.95,2008.714543,80
'Christopher Silenos','MATCH ODDS',1.95,1802.206987,60
'Darijo Belic','ASIAN HANDICAP',3.12,2061.81159,60
'Eduardo Borrero','ASIAN HANDICAP',2.82,2062.582957,80
'Anton Ebdon','MATCH ODDS',1.76,219.694724,80
'Gabriel Elias','OVER / UNDER',3.14,1785.904712,30
'Jason Mills','MATCH ODDS',1.85,219.694724,60
'Anton Ebdon','OVER / UNDER',3.12,1766.540211,100
'Anton Ebdon','ASIAN HANDICAP',2.92,1970.613759,80
'Jeremy Price','ASIAN HANDICAP',2.91,1956.925716,100
'Eduardo Borrero','MATCH ODDS',2.22,1754.950121,60
'Jeremy Price','ASIAN HANDICAP',3,2001.954465,100
'Anton Ebdon','OVER / UNDER',2.95,1772.067482,70
'Anton Ebdon','MATCH ODDS',2.04,1442.585046,60
'Jeremy Price','ASIAN HANDICAP',2.91,2029.924004,100
'Anton Ebdon','ASIAN HANDICAP',3.08,1959.592861,70
'Simeone Tassini','ASIAN HANDICAP',3.05,1959.996308,80
'Gabriel Elias','ASIAN HANDICAP',2.74,1973.694516,40
'Gabriel Elias','ASIAN HANDICAP',2.78,1973.996474,40
'Gabriel Elias','ASIAN HANDICAP',2.79,1936.580709,40
'Jason Mills','MATCH ODDS',1.67,219.694724,60
'Chris Tomas','ASIAN HANDICAP',2.9,2028.933036,100
'Chris Tomas','ASIAN HANDICAP',2.85,2427.385526,100
'Christopher Silenos','OVER / UNDER',3.31,422.883891,60
'Jeremy Price','ASIAN HANDICAP',3.14,2059.58826,100
'Simeone Tassini','ASIAN HANDICAP',2.89,2082.219047,80
'Anton Ebdon','ASIAN HANDICAP',3.58,1973.942492,80
'Gabriel Elias','MATCH ODDS',2.56,1742.268654,20
'Jeremy Price','ASIAN HANDICAP',3.01,1953.759189,100
'Anton Ebdon','ASIAN HANDICAP',2.83,207.67219,80
'Anton Ebdon','OVER / UNDER',3.12,1766.540211,80
'Eduardo Borrero','OVER / UNDER',2.81,1769.122395,80
'Jason Mills','MATCH ODDS',3.49,219.694724,80
'Jeremy Price','ASIAN HANDICAP',3.14,1999.463417,100
'Daniel Larsen','ASIAN HANDICAP',3.06,2427.385526,80
