@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-2

@attribute Tipster {'Jorge Aragundy','Anton Ebdon','Daniel Larsen','Simeone Tassini','Chris Tomas','Christopher Silenos','Jeremy Price','Gabriel Elias','Jason Mills','Darijo Belic','Eduardo Borrero','Silvio Bonatti','Robert Volkan','Achille Piecheur','Ivan Kacic','Amar Sidran','Radek Kovar','Neil Baxter','Burke Ziobro','Sony Luiz','Hubert Tisci',Bettingspaintips,'Charlie Bryson','Eli Pickard','Rosario Barone',Knipser,'Aurelien Delon','Francesco Alinari','Frankie Geary','Owen Garth','Blake Foss','Rufus Rasco'}
@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric
@attribute Take numeric

@data
'Jorge Aragundy','OVER / UNDER',3,1567.55431,80
'Jorge Aragundy','ASIAN HANDICAP',2.98,1451.624936,80
'Jorge Aragundy','OVER / UNDER',3.35,1748.267019,80
'Jorge Aragundy','MATCH ODDS',2.11,1340.078869,80
'Jorge Aragundy','ASIAN HANDICAP',3.12,2002.939065,80
'Jorge Aragundy','MATCH ODDS',1.84,749.056645,80
'Jorge Aragundy','OVER / UNDER',3.02,1750.152638,100
'Jorge Aragundy','ASIAN HANDICAP',3.03,2001.504447,80
'Jorge Aragundy','ASIAN HANDICAP',3.26,1981.773186,60
'Jorge Aragundy','OVER / UNDER',2.87,1765.67366,40
'Jorge Aragundy','ASIAN HANDICAP',2.92,2050.476722,40
'Jorge Aragundy','OVER / UNDER',2.92,1794.191792,60
'Jorge Aragundy','MATCH ODDS',2.38,1751.695256,80
'Jorge Aragundy','OVER / UNDER',2.97,1771.858218,80
'Jorge Aragundy','ASIAN HANDICAP',3.11,1943.26468,80
'Jorge Aragundy','ASIAN HANDICAP',3.19,1982.045027,100
'Jorge Aragundy','ASIAN HANDICAP',2.96,2001.44713,80
'Jorge Aragundy','ASIAN HANDICAP',3.19,1969.457272,80
'Jorge Aragundy','ASIAN HANDICAP',3.07,1959.587079,80
'Jorge Aragundy','OVER / UNDER',3.07,1767.75147,20
'Jorge Aragundy','ASIAN HANDICAP',2.87,2023.113169,80
'Jorge Aragundy','ASIAN HANDICAP',3.14,1993.30959,80
'Jorge Aragundy','ASIAN HANDICAP',2.92,2002.126419,80
'Jorge Aragundy','ASIAN HANDICAP',3.08,1974.896017,80
'Jorge Aragundy','MATCH ODDS',2.18,1340.078869,60
'Jorge Aragundy','ASIAN HANDICAP',2.85,2062.40456,100
'Jorge Aragundy','ASIAN HANDICAP',2.94,2081.080113,80
'Jorge Aragundy','ASIAN HANDICAP',3.03,1942.99117,60
'Jorge Aragundy','OVER / UNDER',3,1788.733225,80
'Jorge Aragundy','ASIAN HANDICAP',2.94,2051.071063,40
'Jorge Aragundy','OVER / UNDER',2.83,1794.180355,60
'Jorge Aragundy','ASIAN HANDICAP',2.9,1451.624936,80
'Jorge Aragundy','ASIAN HANDICAP',2.98,2065.84717,80
'Jorge Aragundy','ASIAN HANDICAP',3.08,749.056645,80
'Jorge Aragundy','MATCH ODDS',1.8,1398.082164,80
'Jorge Aragundy','ASIAN HANDICAP',3.12,749.056645,80
'Jorge Aragundy','OVER / UNDER',2.98,1780.119533,60
'Jorge Aragundy','ASIAN HANDICAP',3,1383.18324,100
'Jorge Aragundy','ASIAN HANDICAP',2.96,1451.624936,80
'Jorge Aragundy','ASIAN HANDICAP',2.9,1359.773484,80
'Jorge Aragundy','OVER / UNDER',2.82,1794.180355,40
'Jorge Aragundy','ASIAN HANDICAP',2.85,1975.920738,60
'Jorge Aragundy','OVER / UNDER',3.02,1766.774889,60
'Jorge Aragundy','OVER / UNDER',2.76,1624.656309,100
'Jorge Aragundy','ASIAN HANDICAP',3.08,2063.013625,80
'Jorge Aragundy','ASIAN HANDICAP',2.96,1451.624936,80
'Jorge Aragundy','OVER / UNDER',3.08,1767.757253,20
'Jorge Aragundy','ASIAN HANDICAP',3,1967.614708,80
'Jorge Aragundy','ASIAN HANDICAP',2.98,1492.986585,80
'Jorge Aragundy','OVER / UNDER',2.85,1783.263988,80
'Jorge Aragundy','MATCH ODDS',2,1340.078869,80
'Jorge Aragundy','ASIAN HANDICAP',2.85,1947.38678,80
'Jorge Aragundy','OVER / UNDER',3.05,1768.160699,80
'Jorge Aragundy','OVER / UNDER',2.82,1783.442384,80
'Jorge Aragundy','ASIAN HANDICAP',3.03,1984.038524,100
'Jorge Aragundy','ASIAN HANDICAP',2.91,2069.299808,60
'Jorge Aragundy','ASIAN HANDICAP',2.75,2072.289441,100
'Jorge Aragundy','ASIAN HANDICAP',2.9,2028.933036,80
'Jorge Aragundy','OVER / UNDER',3.02,1766.774889,60
'Jorge Aragundy','ASIAN HANDICAP',3.05,2048.447094,60
'Jorge Aragundy','OVER / UNDER',2.92,1755.120945,80
'Jorge Aragundy','MATCH ODDS',3.3,1715.260137,40
'Jorge Aragundy','OVER / UNDER',3.05,1768.160699,80
'Jorge Aragundy','OVER / UNDER',2.83,1794.180355,80
'Jorge Aragundy','ASIAN HANDICAP',2.98,1359.773484,60
'Jorge Aragundy','OVER / UNDER',3.11,1766.64549,80
'Jorge Aragundy','MATCH ODDS',1.83,1398.082164,80
'Jorge Aragundy','ASIAN HANDICAP',2.7,1400.441557,100
'Jorge Aragundy','OVER / UNDER',3,1766.786719,60
'Jorge Aragundy','ASIAN HANDICAP',2.93,1946.011181,80
'Jorge Aragundy','ASIAN HANDICAP',2.97,1448.622988,80
'Jorge Aragundy','OVER / UNDER',2.85,1771.690616,80
'Jorge Aragundy','OVER / UNDER',3.16,1761.956023,60
'Jorge Aragundy','ASIAN HANDICAP',2.82,2043.66051,80
'Jorge Aragundy','OVER / UNDER',2.93,1783.453821,80
