@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER UNDER',1.83,1776.112271
'MATCH ODDS',5.2,1679.854512
'MATCH ODDS',2.1,1770.462993
'OVER UNDER',2.08,1793.514906
'OVER UNDER',2.16,1690.343841
'ASIAN HANDICAP',1.82,2023.077578
'MATCH ODDS',3.1,826.458196
'MATCH ODDS',2.8,826.463319
'OVER UNDER',1.6,786.884359
'MATCH ODDS',3,792.590222
'ASIAN HANDICAP',2.02,2024.78711
'MATCH ODDS',4,773.480837
'OVER UNDER',1.65,775.357391
'MATCH ODDS',5.5,775.321235
'MATCH ODDS',2.15,775.061458
'OVER UNDER',1.7,774.71101
'MATCH ODDS',1.95,770.854559
'MATCH ODDS',8,773.434757
'OVER UNDER',2.05,1709.10464
'ASIAN HANDICAP',1.77,1897.820513
'OVER UNDER',1.6,767.040613
'ASIAN HANDICAP',1.8,1199.660822
'MATCH ODDS',15,756.02617
'OVER UNDER',1.73,1760.148646
'ASIAN HANDICAP',1.9,2001.168885
'ASIAN HANDICAP',1.74,1405.12989
'ASIAN HANDICAP',1.91,1427.210773
'ASIAN HANDICAP',2.09,1346.681984
'OVER UNDER',1.65,757.446688
'OVER UNDER',1.65,757.446688
'OVER UNDER',1.5,761.550268
'MATCH ODDS',2.15,756.358723
'MATCH ODDS',2,703.742471
'MATCH ODDS',2.75,1740.433199
'MATCH ODDS',3.1,1738.539212
'ASIAN HANDICAP',2.31,1934.121825
'MATCH ODDS',5.2,701.290615
'MATCH ODDS',1.72,1276.631625
'MATCH ODDS',2.5,1693.727822
'ASIAN HANDICAP',2.21,1456.442268
'MATCH ODDS',9.5,1704.696271
'MATCH ODDS',3,1715.427547
'ASIAN HANDICAP',1.83,1640.465564
'ASIAN HANDICAP',1.89,1437.063711
'MATCH ODDS',3.12,1738.539212
'ASIAN HANDICAP',1.9,2002.568207
'OVER UNDER',1.94,1794.531455
'ASIAN HANDICAP',1.99,2070.864736
'OVER UNDER',1.85,1807.723622
'OVER UNDER',3.12,1636.567898
'ASIAN HANDICAP',1.71,1892.533201
'ASIAN HANDICAP',2.14,2042.308779
'OVER UNDER',1.55,821.806984
'MATCH ODDS',2.2,829.875902
'ASIAN HANDICAP',1.93,1028.648053
'MATCH ODDS',2.45,829.961422
'OVER UNDER',2.01,1801.979545
'ASIAN HANDICAP',2.07,1975.11855
'MATCH ODDS',2.04,1613.884633
'MATCH ODDS',2.6,825.141666
'ASIAN HANDICAP',2.03,1860.093969
'MATCH ODDS',2.45,826.853322
'OVER UNDER',1.9,1795.571298
'MATCH ODDS',5.2,792.519802
'OVER UNDER',1.55,791.599032
'MATCH ODDS',4,792.553304
'ASIAN HANDICAP',2.05,1908.846972
'ASIAN HANDICAP',1.71,1939.15359
'OVER UNDER',1.79,1762.13089
'MATCH ODDS',2.55,1709.367223
'MATCH ODDS',5,1735.641372
'MATCH ODDS',2,1768.300972
'MATCH ODDS',1.9,1772.666024
'ASIAN HANDICAP',1.96,2050.195061
'ASIAN HANDICAP',1.82,1014.166278
'OVER UNDER',2.05,1789.84454
'OVER UNDER',1.96,1751.299428
'OVER UNDER',2.14,1747.693359
'ASIAN HANDICAP',2,1144.583362
'ASIAN HANDICAP',2.11,1105.76886
'MATCH ODDS',2.18,1172.219014
'ASIAN HANDICAP',1.91,1186.323519
'ASIAN HANDICAP',1.71,2067.216814
'ASIAN HANDICAP',1.98,1976.661593
'ASIAN HANDICAP',2.14,1949.59322
'MATCH ODDS',2,1769.94531
'ASIAN HANDICAP',1.77,1176.383214
'ASIAN HANDICAP',1.87,1903.631834
'ASIAN HANDICAP',2.08,1907.880476
'OVER UNDER',2.01,1261.206475
'MATCH ODDS',3.6,763.232273
'ASIAN HANDICAP',2.61,1841.95434
'OVER UNDER',1.65,758.987653
'ASIAN HANDICAP',2.24,2058.529093
'MATCH ODDS',3.6,1717.712778
'ASIAN HANDICAP',2.04,1351.426526
'ASIAN HANDICAP',1.9,1270.553538
'ASIAN HANDICAP',2.03,1974.753952
'OVER UNDER',1.99,1628.302695
'MATCH ODDS',2.96,1738.688198
'ASIAN HANDICAP',1.98,1944.711342
'ASIAN HANDICAP',1.98,1959.878947
'ASIAN HANDICAP',2.03,1166.339423
'OVER UNDER',2.03,1042.196084
'ASIAN HANDICAP',1.88,2022.484624
'MATCH ODDS',9.76,999.304525
'MATCH ODDS',2.21,1756.045045
'OVER UNDER',2.17,1797.196563
'ASIAN HANDICAP',1.8,1867.115236
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',2,2030.795669
'MATCH ODDS',5,700.854638
'OVER UNDER',1.75,704.12493
'MATCH ODDS',1.5,695.18656
'ASIAN HANDICAP',1.93,1920.471795
'MATCH ODDS',1.55,697.099553
'ASIAN HANDICAP',1.91,2013.047543
'ASIAN HANDICAP',2.01,2064.151369
'ASIAN HANDICAP',2,1520.636061
'OVER UNDER',1.99,1575.2554
'OVER UNDER',1.95,1632.148822
'OVER UNDER',2,1628.302695
'ASIAN HANDICAP',2.4,1622.207864
'ASIAN HANDICAP',2.19,1314.533917
'OVER UNDER',1.86,1794.069658
'OVER UNDER',2.14,1775.172035
'OVER UNDER',1.99,1802.06279
'MATCH ODDS',3.4,1738.538178
'ASIAN HANDICAP',1.96,2001.44713
'MATCH ODDS',1.71,1594.537091
'ASIAN HANDICAP',2.31,1753.729227
'ASIAN HANDICAP',1.97,1595.42478
'OVER UNDER',1.85,1075.279651
'MATCH ODDS',1.85,702.090115
'OVER UNDER',2.6,721.050299
'ASIAN HANDICAP',2.08,1061.364828
'OVER UNDER',2.01,1628.302695
'OVER UNDER',1.98,1576.032557
'ASIAN HANDICAP',1.99,1303.146044
'ASIAN HANDICAP',2.01,1944.148944
'OVER UNDER',1.98,1632.43306
'ASIAN HANDICAP',2.17,1901.65238
'MATCH ODDS',5.13,1710.763748
'OVER UNDER',2.01,1606.241784
'OVER UNDER',1.84,1807.253045
'ASIAN HANDICAP',1.93,1956.75824
'OVER UNDER',1.94,1577.463
'OVER UNDER',1.86,1807.164931
'ASIAN HANDICAP',1.99,1958.164703
'OVER UNDER',1.98,1632.43306
'ASIAN HANDICAP',2,1942.997099
'MATCH ODDS',9.02,1735.628795
'ASIAN HANDICAP',2.02,1958.468657
'ASIAN HANDICAP',1.93,1370.616222
'MATCH ODDS',6.08,1017.83995
'OVER UNDER',1.89,1610.687347
'ASIAN HANDICAP',2,1168.732481
'ASIAN HANDICAP',1.93,1956.75824
'OVER UNDER',2.01,1802.454889
'OVER UNDER',1.86,1771.560154
'ASIAN HANDICAP',1.79,1947.327768
'OVER UNDER',1.8,937.77164
'MATCH ODDS',2.63,1717.537111
'MATCH ODDS',2,1769.94531
'OVER UNDER',1.8,771.241582
'MATCH ODDS',3.7,763.232273
'MATCH ODDS',2.3,764.17037
'MATCH ODDS',3.3,763.247905
'ASIAN HANDICAP',1.74,1596.702939
'MATCH ODDS',1.95,1774.987331
'MATCH ODDS',4.7,755.10209
'MATCH ODDS',1.73,1766.103595
'MATCH ODDS',2.3,701.575129
'ASIAN HANDICAP',2.45,1553.734781
'MATCH ODDS',3.67,1713.196461
'OVER UNDER',1.55,709.825382
'OVER UNDER',1.55,709.825382
'OVER UNDER',1.95,716.201877
'MATCH ODDS',3.1,701.021025
'ASIAN HANDICAP',1.96,1281.890073
'MATCH ODDS',1.95,1715.375836
'ASIAN HANDICAP',2.13,1324.892512
'OVER UNDER',1.94,1762.91647
'ASIAN HANDICAP',2.12,1324.753318
'ASIAN HANDICAP',2,1162.286333
'MATCH ODDS',3.79,1736.00002
'MATCH ODDS',3.46,1734.879547
'OVER UNDER',1.77,1762.366223
'ASIAN HANDICAP',2.08,1243.753655
'MATCH ODDS',2.5,861.707329
'OVER UNDER',1.95,1808.18843
'ASIAN HANDICAP',2.08,1969.042866
'MATCH ODDS',2.45,829.251211
'OVER UNDER',1.55,822.014431
'MATCH ODDS',12,829.035643
'MATCH ODDS',1.9,820.104923
'OVER UNDER',1.65,811.693905
'MATCH ODDS',3.6,826.650543
'OVER UNDER',1.55,819.989182
'OVER UNDER',1.99,1631.864485
'ASIAN HANDICAP',1.98,1953.637294
'MATCH ODDS',3.2,826.667209
'OVER UNDER',2.3,833.698947
'MATCH ODDS',7,826.553107
'OVER UNDER',1.85,791.812952
'MATCH ODDS',1.5,1727.890249
'ASIAN HANDICAP',2.11,1592.476435
'ASIAN HANDICAP',1.96,1876.605923
'ASIAN HANDICAP',1.85,1975.920738
'OVER UNDER',2.28,807.457353
'OVER UNDER',1.77,1578.871159
'ASIAN HANDICAP',3.15,2028.325581
'ASIAN HANDICAP',2.04,1593.335706
'MATCH ODDS',1.8,761.834073
'MATCH ODDS',4,766.36373
'MATCH ODDS',1.65,755.354234
'MATCH ODDS',1.5,754.687149
'ASIAN HANDICAP',1.99,2024.793038
'OVER UNDER',1.7,1760.85921
'MATCH ODDS',3.3,1715.260137
'ASIAN HANDICAP',1.81,2023.077578
'ASIAN HANDICAP',2.02,2024.78711
'ASIAN HANDICAP',2,1997.304808
'MATCH ODDS',4.2,763.621643
'MATCH ODDS',8,765.86197
'OVER UNDER',2.1,788.998777
'ASIAN HANDICAP',1.9,2001.168885
'OVER UNDER',1.65,758.987653
'MATCH ODDS',3.3,1715.260137
'ASIAN HANDICAP',2.01,1973.696175
'OVER UNDER',2.01,1750.164468
'ASIAN HANDICAP',2.03,2068.783098
'MATCH ODDS',2.39,1749.868565
'OVER UNDER',1.98,1049.997774
'ASIAN HANDICAP',2.5,1158.049856
'ASIAN HANDICAP',1.8,1130.989873
'MATCH ODDS',5.75,824.345553
'MATCH ODDS',4.3,1018.176323
'ASIAN HANDICAP',1.94,1256.922121
'MATCH ODDS',2.2,703.164696
'MATCH ODDS',10,704.398821
'MATCH ODDS',2.8,1736.903377
'ASIAN HANDICAP',2.07,1915.785278
'OVER UNDER',1.5,879.358909
'ASIAN HANDICAP',2,2065.141425
'OVER UNDER',2.05,1633.557722
'OVER UNDER',2.06,1790.48538
'MATCH ODDS',2.4,763.449628
'ASIAN HANDICAP',2.36,1256.151562
'MATCH ODDS',2.5,757.957965
'OVER UNDER',2.25,765.845316
'MATCH ODDS',2.45,755.371501
'MATCH ODDS',2.42,1751.695256
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',2,1953.759189
'ASIAN HANDICAP',1.84,1962.943403
'ASIAN HANDICAP',2.25,1891.698575
'ASIAN HANDICAP',2.09,2073.651044
'OVER UNDER',1.5,710.449873
'OVER UNDER',2.15,727.069435
'MATCH ODDS',3.38,1715.260137
'OVER UNDER',2,1778.420713
'ASIAN HANDICAP',1.97,1831.992238
'ASIAN HANDICAP',1.85,2032.040452
'ASIAN HANDICAP',2.16,2062.785756
'ASIAN HANDICAP',2.17,2063.625536
'OVER UNDER',2.01,1606.326919
'OVER UNDER',2,1604.744417
'MATCH ODDS',4.5,1364.677618
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',2.2,2066.01586
'MATCH ODDS',3.75,1003.175714
'MATCH ODDS',2.31,1751.45385
'ASIAN HANDICAP',2.12,1912.615866
'ASIAN HANDICAP',1.43,1801.764654
'MATCH ODDS',1.7,1417.795035
'ASIAN HANDICAP',1.99,1984.485626
'OVER UNDER',2.5,1336.813311
'OVER UNDER',2.76,1319.700742
'ASIAN HANDICAP',2.04,1028.09157
'MATCH ODDS',5.5,997.658361
'ASIAN HANDICAP',2.66,1908.552344
'ASIAN HANDICAP',1.71,1963.691704
'ASIAN HANDICAP',2.06,2063.808324
'OVER UNDER',1.7,702.689085
'OVER UNDER',1.65,703.268603
'MATCH ODDS',2.04,1769.58504
'OVER UNDER',2.08,1789.726483
'MATCH ODDS',9.73,1735.628795
'ASIAN HANDICAP',2,1958.164703
'ASIAN HANDICAP',3.38,2033.31498
'OVER UNDER',2,1066.900723
'MATCH ODDS',8.95,1160.693111
'ASIAN HANDICAP',2.01,1303.146044
'MATCH ODDS',10.31,1002.630284
'ASIAN HANDICAP',1.83,1233.374643
'MATCH ODDS',3.42,1091.605975
'OVER UNDER',3,1035.201354
'ASIAN HANDICAP',1.85,1085.442463
'MATCH ODDS',6.12,811.463788
'OVER UNDER',2.01,907.742953
'ASIAN HANDICAP',1.95,1957.126369
'MATCH ODDS',6.5,885.109458
'OVER UNDER',1.88,1474.499774
'ASIAN HANDICAP',1.77,1056.345197
'MATCH ODDS',1.9,1774.310362
'MATCH ODDS',5,1735.641372
'MATCH ODDS',1.85,1768.975491
'OVER UNDER',2.1,767.080109
'OVER UNDER',1.8,764.019727
'OVER UNDER',2.06,1259.398419
'ASIAN HANDICAP',2.08,1149.254087
'MATCH ODDS',5.7,884.942773
'OVER UNDER',1.55,762.914084
'OVER UNDER',1.6,758.277793
'MATCH ODDS',1.95,750.671838
'MATCH ODDS',3,1715.427547
'OVER UNDER',1.6,706.653699
'MATCH ODDS',5.5,701.290615
'OVER UNDER',1.73,1766.707978
'ASIAN HANDICAP',1.88,2042.89592
'MATCH ODDS',5.55,1737.225821
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',1.84,1967.897272
'OVER UNDER',2.11,1802.243785
'ASIAN HANDICAP',1.82,1992.915363
'ASIAN HANDICAP',1.9,1912.290744
'ASIAN HANDICAP',1.8,2005.459183
'ASIAN HANDICAP',1.94,1893.169832
'MATCH ODDS',2,896.285829
'MATCH ODDS',1.75,1770.643224
'ASIAN HANDICAP',1.83,2025.114092
'MATCH ODDS',2.55,1742.268654
'OVER UNDER',1.8,822.201289
'MATCH ODDS',2.36,1749.566192
'OVER UNDER',1.75,789.789429
'MATCH ODDS',5,1003.367327
'MATCH ODDS',7,1003.354749
'MATCH ODDS',4.5,1003.374552
'MATCH ODDS',2.4,884.823035
'ASIAN HANDICAP',1.86,2062.47226
'ASIAN HANDICAP',1.89,1061.038818
'MATCH ODDS',2.39,1010.463502
'ASIAN HANDICAP',1.74,1360.468724
'ASIAN HANDICAP',2.9,1344.71855
'ASIAN HANDICAP',2.32,2053.0454
'OVER UNDER',1.9,773.704383
'MATCH ODDS',15,765.86197
'ASIAN HANDICAP',2.05,2064.305453
'ASIAN HANDICAP',1.78,1157.216203
'MATCH ODDS',2.05,1020.534582
'MATCH ODDS',5,883.732686
'MATCH ODDS',6.45,1416.135751
'ASIAN HANDICAP',1.95,1183.977095
'ASIAN HANDICAP',1.93,1970.613759
'MATCH ODDS',5.7,1035.554493
'MATCH ODDS',8,1013.665343
'OVER UNDER',1.8,824.226538
'ASIAN HANDICAP',2.02,1980.551565
'ASIAN HANDICAP',1.89,2076.525871
'OVER UNDER',1.75,817.198801
'MATCH ODDS',1.75,817.771737
'OVER UNDER',1.6,821.251454
'OVER UNDER',2.25,836.867047
'ASIAN HANDICAP',1.83,2071.124782
'ASIAN HANDICAP',1.94,1957.386577
'OVER UNDER',1.8,791.879206
'MATCH ODDS',6,1002.797259
'OVER UNDER',1.55,780.824787
'MATCH ODDS',1.62,537.394919
'MATCH ODDS',2.9,1003.496113
'OVER UNDER',1.65,888.248446
'OVER UNDER',2.25,788.906365
'MATCH ODDS',2.04,1769.58504
'MATCH ODDS',3.1,1740.243885
'ASIAN HANDICAP',2.28,1456.642335
'ASIAN HANDICAP',2.09,1419.48422
'ASIAN HANDICAP',1.88,1411.616601
'MATCH ODDS',1.85,1021.871594
'ASIAN HANDICAP',2.23,1406.677758
'MATCH ODDS',3.8,763.232273
'ASIAN HANDICAP',1.82,2086.830128
'ASIAN HANDICAP',2.52,1176.701485
'MATCH ODDS',1.96,1299.116715
'OVER UNDER',1.55,885.036323
'MATCH ODDS',1.91,1035.12747
'MATCH ODDS',2.08,1771.096742
'MATCH ODDS',4.33,996.594038
'ASIAN HANDICAP',1.8,1567.70724
'OVER UNDER',1.75,761.92995
'OVER UNDER',1.5,763.091233
'OVER UNDER',2.1,781.842243
'ASIAN HANDICAP',1.98,1198.603176
'OVER UNDER',2.2,1737.543574
'MATCH ODDS',2.05,1771.500188
'OVER UNDER',2,1789.511515
'MATCH ODDS',4,1737.259323
'MATCH ODDS',5,1002.642861
'ASIAN HANDICAP',1.98,1446.418411
'ASIAN HANDICAP',2.55,1523.93499
'ASIAN HANDICAP',2.07,1543.159452
'ASIAN HANDICAP',2,1565.357495
'OVER UNDER',1.65,1051.635144
'MATCH ODDS',3.4,882.916185
'ASIAN HANDICAP',1.65,1264.622774
'ASIAN HANDICAP',2,1090.72824
'MATCH ODDS',2.11,1769.969076
'MATCH ODDS',3.66,1740.113854
'ASIAN HANDICAP',1.99,1967.614708
'MATCH ODDS',2.05,1773.937373
'OVER UNDER',1.6,1702.034988
'ASIAN HANDICAP',2.11,1886.495952
'MATCH ODDS',3.91,1586.58574
'OVER UNDER',1.94,1065.456151
'MATCH ODDS',1.8,1717.897776
'OVER UNDER',1.96,1653.671965
'MATCH ODDS',8,995.212658
'OVER UNDER',2.75,722.767829
'OVER UNDER',1.65,705.165161
'ASIAN HANDICAP',1.58,1854.255636
'ASIAN HANDICAP',1.88,2060.100135
'OVER UNDER',1.87,1783.805504
'MATCH ODDS',2.07,1771.090959
'MATCH ODDS',2.18,1756.104461
'MATCH ODDS',1.91,1034.76659
'MATCH ODDS',3.83,1660.812762
'OVER UNDER',2.07,1750.788299
'MATCH ODDS',5.15,1685.666665
'ASIAN HANDICAP',1.96,1915.021469
'OVER UNDER',1.95,1349.260751
'MATCH ODDS',7.22,1227.797154
'ASIAN HANDICAP',1.96,1571.057957
'MATCH ODDS',3.16,947.479831
'OVER UNDER',2.01,1041.835255
'MATCH ODDS',3.36,902.644833
'OVER UNDER',2.01,1046.749302
'MATCH ODDS',3.4,923.092613
'OVER UNDER',1.96,1072.808058
'MATCH ODDS',1.93,1776.555926
'ASIAN HANDICAP',2.2,1507.383434
'OVER UNDER',1.8,1791.84281
'MATCH ODDS',2.25,881.293842
'MATCH ODDS',3.25,882.644829
'MATCH ODDS',2,877.435964
'MATCH ODDS',2.55,757.021308
'MATCH ODDS',1.67,745.898889
'ASIAN HANDICAP',1.81,1903.262389
'OVER UNDER',1.86,1771.560154
'ASIAN HANDICAP',2.36,1655.022288
'ASIAN HANDICAP',2.18,1288.774279
'ASIAN HANDICAP',1.9,1411.151416
'OVER UNDER',1.55,710.372124
'MATCH ODDS',2.7,704.424221
'ASIAN HANDICAP',1.94,1912.05377
'OVER UNDER',2.24,1214.909262
'ASIAN HANDICAP',1.94,1525.500923
'ASIAN HANDICAP',1.92,1988.365025
'MATCH ODDS',1.91,1298.53793
'OVER UNDER',2.02,1064.842889
'MATCH ODDS',3.22,925.264584
'ASIAN HANDICAP',2.41,1281.231913
'ASIAN HANDICAP',2,1181.062442
'ASIAN HANDICAP',1.96,1157.061413
'ASIAN HANDICAP',1.85,1868.227087
'MATCH ODDS',2.2,1601.825482
'ASIAN HANDICAP',2.44,1275.556164
'ASIAN HANDICAP',1.9,2081.474315
'ASIAN HANDICAP',1.78,1044.406856
'ASIAN HANDICAP',2.3,2055.949745
'ASIAN HANDICAP',2.1,2074.458501
'ASIAN HANDICAP',2.02,1768.218217
'OVER UNDER',1.75,1791.515761
'OVER UNDER',1.55,762.914084
'MATCH ODDS',2.7,885.212202
'OVER UNDER',1.8,889.059662
'OVER UNDER',1.8,710.921531
'MATCH ODDS',1.73,693.30555
'OVER UNDER',1.6,704.143069
'ASIAN HANDICAP',2.11,1331.014838
'ASIAN HANDICAP',1.73,1992.023731
'OVER UNDER',2.29,1749.409088
'OVER UNDER',1.83,1783.442384
'ASIAN HANDICAP',2,2074.617727
'ASIAN HANDICAP',2.41,1402.667037
'ASIAN HANDICAP',2.69,1264.060915
'OVER UNDER',2,1205.207191
'OVER UNDER',2.01,1606.326919
'ASIAN HANDICAP',2.04,1809.760964
'OVER UNDER',1.91,1794.359267
'ASIAN HANDICAP',2.5,1222.040307
'ASIAN HANDICAP',2.01,1644.621507
'OVER UNDER',1.98,1346.670101
'OVER UNDER',2.12,1802.890497
'MATCH ODDS',1.62,804.056271
'ASIAN HANDICAP',1.9,1912.244678
'OVER UNDER',1.6,818.338743
'OVER UNDER',1.8,1791.632695
'ASIAN HANDICAP',2.05,2004.951394
'MATCH ODDS',1.5,791.455337
'MATCH ODDS',2.07,1441.336439
'ASIAN HANDICAP',1.72,1245.741304
'MATCH ODDS',2.3,885.218526
'OVER UNDER',3,807.802894
'MATCH ODDS',6,1002.797259
'MATCH ODDS',3.6,1003.643498
'MATCH ODDS',4,887.613234
'MATCH ODDS',4.5,887.586957
'MATCH ODDS',5.7,887.567154
'MATCH ODDS',6,887.567154
'OVER UNDER',1.9,793.741164
'OVER UNDER',1.73,786.635684
'MATCH ODDS',4,794.302576
'OVER UNDER',1.95,797.269991
'MATCH ODDS',4.3,792.535417
'MATCH ODDS',7,792.507225
'MATCH ODDS',4.33,794.284689
'OVER UNDER',1.76,1807.203594
'ASIAN HANDICAP',1.81,2083.314682
'MATCH ODDS',1.95,881.418305
'MATCH ODDS',4,775.38754
'MATCH ODDS',1.9,554.156238
'ASIAN HANDICAP',1.95,1689.959931
'OVER UNDER',1.9,1798.170712
'ASIAN HANDICAP',2.16,1344.123302
'MATCH ODDS',4.4,766.30465
'MATCH ODDS',3.3,766.397916
'OVER UNDER',2,780.543335
'ASIAN HANDICAP',2.07,1649.980923
'ASIAN HANDICAP',2,1984.044452
'ASIAN HANDICAP',1.89,2079.503925
'OVER UNDER',1.75,761.92995
'OVER UNDER',1.9,1798.170712
'ASIAN HANDICAP',1.76,2053.37434
'MATCH ODDS',1.78,1765.397034
'MATCH ODDS',3,1284.451209
'ASIAN HANDICAP',2.05,1448.060196
'ASIAN HANDICAP',1.99,1341.451865
'ASIAN HANDICAP',2.01,1584.054111
'ASIAN HANDICAP',1.84,1967.897272
'ASIAN HANDICAP',2.06,1102.945518
'OVER UNDER',1.9,1783.644318
'MATCH ODDS',3.35,1715.260137
'ASIAN HANDICAP',1.92,1945.585783
'ASIAN HANDICAP',1.83,1743.371261
'ASIAN HANDICAP',2,1707.959248
'MATCH ODDS',2.27,1755.18049
'ASIAN HANDICAP',1.9,2068.916154
'OVER UNDER',1.91,1633.586743
'OVER UNDER',1.6,852.960032
'ASIAN HANDICAP',1.74,1962.914785
'OVER UNDER',1.8,819.288578
'MATCH ODDS',3.5,824.782131
'OVER UNDER',2.4,835.94855
'OVER UNDER',2.04,758.298998
'OVER UNDER',1.65,786.053254
'MATCH ODDS',8,623.340662
'MATCH ODDS',2.6,889.470588
'MATCH ODDS',6,889.13884
'MATCH ODDS',5.5,618.131607
'ASIAN HANDICAP',2.81,1944.320576
'ASIAN HANDICAP',1.95,1979.878907
'ASIAN HANDICAP',1.93,1447.751256
'MATCH ODDS',1.6,756.012962
'ASIAN HANDICAP',1.84,1903.262389
'ASIAN HANDICAP',2.2,1298.69317
'ASIAN HANDICAP',1.82,1293.369073
'ASIAN HANDICAP',2.28,1321.365795
'ASIAN HANDICAP',1.88,1327.636083
'ASIAN HANDICAP',1.93,1851.84005
'OVER UNDER',1.8,764.019727
'ASIAN HANDICAP',3.01,2042.210096
'MATCH ODDS',2.65,885.212202
'OVER UNDER',1.6,759.818758
'ASIAN HANDICAP',1.91,2017.340073
'ASIAN HANDICAP',1.92,1983.556545
'OVER UNDER',2.17,1656.404303
'ASIAN HANDICAP',1.82,1885.006064
'ASIAN HANDICAP',2.11,1907.179503
'OVER UNDER',2.24,1733.017611
'OVER UNDER',1.95,1477.953871
'MATCH ODDS',3.42,1367.118738
'MATCH ODDS',4.1,1282.73669
'ASIAN HANDICAP',2.16,1208.522632
'ASIAN HANDICAP',2.49,1128.75119
'ASIAN HANDICAP',2,775.706235
'ASIAN HANDICAP',2.5,1867.632751
'MATCH ODDS',7.5,701.278038
'MATCH ODDS',2.5,1595.803637
'MATCH ODDS',2.65,1589.722551
'ASIAN HANDICAP',1.99,1967.614708
'MATCH ODDS',1.8,916.783263
'OVER UNDER',1.88,1324.375943
'MATCH ODDS',3.1,1738.539212
'ASIAN HANDICAP',2.19,1858.842282
'MATCH ODDS',1.75,1025.53447
'ASIAN HANDICAP',2.06,954.818295
'OVER UNDER',1.6,881.270854
'ASIAN HANDICAP',1.95,1963.111292
'OVER UNDER',1.98,1628.87127
'ASIAN HANDICAP',2.02,1989.406632
'OVER UNDER',2,1579.387922
'OVER UNDER',2.45,1748.375128
'OVER UNDER',1.55,767.735513
'OVER UNDER',2.28,778.212781
'OVER UNDER',1.58,711.465697
'ASIAN HANDICAP',1.83,1764.571404
'OVER UNDER',1.5,711.107305
'ASIAN HANDICAP',2.01,2069.613543
'ASIAN HANDICAP',2.2,1409.240925
'ASIAN HANDICAP',1.99,1942.997099
'ASIAN HANDICAP',2.06,1984.785696
'MATCH ODDS',5.25,982.865223
'MATCH ODDS',2.1,1767.302687
'ASIAN HANDICAP',1.96,1958.592553
'ASIAN HANDICAP',2.63,1877.091829
'ASIAN HANDICAP',1.96,1978.529539
'ASIAN HANDICAP',2.42,1937.876805
'OVER UNDER',1.97,1631.99039
'OVER UNDER',2,1631.864485
'ASIAN HANDICAP',2.04,1944.143015
'ASIAN HANDICAP',2.73,2030.078425
'MATCH ODDS',10.08,1687.297791
'ASIAN HANDICAP',2.16,1696.336866
'ASIAN HANDICAP',1.83,2005.454644
'MATCH ODDS',8.5,940.804656
'OVER UNDER',1.95,1795.294587
'OVER UNDER',2.03,1357.665659
'OVER UNDER',1.96,1079.787362
'MATCH ODDS',6,996.68527
'OVER UNDER',1.92,1216.301888
'ASIAN HANDICAP',1.87,2023.113169
'ASIAN HANDICAP',1.91,2066.763178
'OVER UNDER',1.87,1201.386117
'OVER UNDER',1.92,1030.111957
'ASIAN HANDICAP',2.21,1985.639166
'ASIAN HANDICAP',2.34,1246.630647
'OVER UNDER',2.1,1079.408841
'MATCH ODDS',9.86,1017.83995
'ASIAN HANDICAP',1.69,1151.614633
'MATCH ODDS',7.5,864.246712
'OVER UNDER',2.02,1628.290865
'OVER UNDER',1.97,1631.99039
'MATCH ODDS',3.43,1091.605975
'OVER UNDER',1.87,1062.833293
'ASIAN HANDICAP',1.76,1948.440426
'ASIAN HANDICAP',2.4,1967.57499
'OVER UNDER',2,773.386801
'OVER UNDER',1.82,1053.855427
'OVER UNDER',1.65,705.165161
'MATCH ODDS',2.4,704.713461
'MATCH ODDS',2,1016.109988
'OVER UNDER',1.97,704.824259
'MATCH ODDS',2.63,1690.849871
'ASIAN HANDICAP',1.98,1860.33907
'MATCH ODDS',2.62,1421.072108
'ASIAN HANDICAP',1.74,1549.448264
'OVER UNDER',2,1604.744417
'ASIAN HANDICAP',1.99,1894.625655
'OVER UNDER',2.02,1518.251862
'ASIAN HANDICAP',1.77,1986.918084
'MATCH ODDS',6.13,1710.751171
'OVER UNDER',2.07,1784.855932
'ASIAN HANDICAP',2.09,2063.39546
'MATCH ODDS',3.68,901.829042
'OVER UNDER',1.99,1046.272068
'ASIAN HANDICAP',1.9,1983.745124
'MATCH ODDS',3.4,1284.448477
'MATCH ODDS',2.45,1293.085333
'ASIAN HANDICAP',1.8,1292.786164
'ASIAN HANDICAP',1.75,1082.153596
'OVER UNDER',1.9,1089.557637
'ASIAN HANDICAP',2.11,2014.590155
'ASIAN HANDICAP',2.72,2028.514895
'OVER UNDER',1.88,1568.480681
'MATCH ODDS',3.01,1688.566202
'ASIAN HANDICAP',2.09,1887.300177
'OVER UNDER',1.78,1807.203594
'ASIAN HANDICAP',1.81,1309.084701
'OVER UNDER',1.91,1633.586743
'ASIAN HANDICAP',2.03,1951.917122
'ASIAN HANDICAP',2.72,1496.844029
'MATCH ODDS',1.91,1176.047513
