@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'ASIAN HANDICAP',2.16,866.272789
'MATCH ODDS',2.5,583.77136
'ASIAN HANDICAP',1.88,817.561817
'OVER UNDER',1.82,1058.651816
'MATCH ODDS',1.85,651.053978
'ASIAN HANDICAP',1.83,1936.894441
'ASIAN HANDICAP',2,1984.485626
'ASIAN HANDICAP',1.78,1220.248738
'OVER UNDER',2.35,1544.322974
'OVER UNDER',1.89,1807.789795
'ASIAN HANDICAP',1.9,1988.58113
'ASIAN HANDICAP',2.08,1875.207221
'ASIAN HANDICAP',2.22,675.397872
'ASIAN HANDICAP',2.23,1891.699726
'OVER UNDER',1.73,643.525704
'MATCH ODDS',2,1766.499359
'MATCH ODDS',1.87,583.284802
'OVER UNDER',1.73,1734.828615
'OVER UNDER',1.85,584.201561
'ASIAN HANDICAP',1.72,1966.635448
'ASIAN HANDICAP',2.01,1984.044452
'ASIAN HANDICAP',1.72,1923.952732
'ASIAN HANDICAP',1.88,1306.017929
'ASIAN HANDICAP',2.29,926.631628
'MATCH ODDS',3.33,796.45629
'ASIAN HANDICAP',1.98,1998.32801
'ASIAN HANDICAP',2.12,1301.308497
'ASIAN HANDICAP',2.5,1713.375002
'ASIAN HANDICAP',2.59,1066.340732
'ASIAN HANDICAP',2.08,1982.633526
'ASIAN HANDICAP',1.95,1079.710648
'ASIAN HANDICAP',1.88,1187.8512
'OVER UNDER',3.27,1725.750298
'ASIAN HANDICAP',1.99,1444.745711
'ASIAN HANDICAP',1.88,1990.213996
'ASIAN HANDICAP',1.9,1064.173869
'OVER UNDER',2.01,1725.712756
'ASIAN HANDICAP',1.85,1936.889675
'ASIAN HANDICAP',1.99,1314.693498
'MATCH ODDS',2,1021.464306
'MATCH ODDS',2,448.089246
'ASIAN HANDICAP',2.14,1811.35787
'ASIAN HANDICAP',1.74,1976.070516
'ASIAN HANDICAP',1.82,1929.687609
'ASIAN HANDICAP',1.89,531.084258
'MATCH ODDS',1.9,1046.255855
'MATCH ODDS',2.1,1055.221812
'ASIAN HANDICAP',1.93,2068.307677
'ASIAN HANDICAP',2.13,1971.121292
'ASIAN HANDICAP',2.04,1075.127494
'OVER UNDER',2.13,1495.439298
'MATCH ODDS',2.1,1183.776713
'ASIAN HANDICAP',2.26,1727.924248
'ASIAN HANDICAP',2.45,1208.745182
'ASIAN HANDICAP',1.97,1873.16539
'ASIAN HANDICAP',1.96,1236.702507
'MATCH ODDS',2,1604.53072
'MATCH ODDS',2.2,1428.361768
'ASIAN HANDICAP',2.42,1629.040527
'MATCH ODDS',1.9,1297.453183
'ASIAN HANDICAP',2.21,1935.833645
'ASIAN HANDICAP',2.04,1236.013075
'ASIAN HANDICAP',1.99,926.480384
'ASIAN HANDICAP',2.51,909.000308
'MATCH ODDS',2,1023.836699
'ASIAN HANDICAP',1.95,1189.462726
'OVER UNDER',2.26,1743.146456
'OVER UNDER',1.83,1807.902018
'ASIAN HANDICAP',2.05,1292.593997
'ASIAN HANDICAP',1.66,1885.626709
'MATCH ODDS',2,1033.651044
'ASIAN HANDICAP',2.28,1860.974617
'ASIAN HANDICAP',2.19,1150.772796
'ASIAN HANDICAP',1.98,1750.171782
'MATCH ODDS',2.2,991.416661
