Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
604,2012-08-30 18:45:00,SOC,Europa League,Levante - Motherwell,1.77,WIN,Both 2 Score - No,1-0,Interwetten,1.77,1.00,0.77,batigol,2012-08-30 18:01:13
605,2012-08-30 16:00:00,SOC,Europa League,Dnipro Dnipropetrovsk - Slovan Liberec,1.95,WIN,Dnipro Dnipropetrovsk (-1),4-2,PINNACLE,1.95,1.00,0.95,batigol,2012-08-30 15:28:21
606,2012-08-29 18:45:00,SOC,Champions L,Celtic - Helsingborg,9.4,WIN,Under 2.75,2-0,PINNACLE,1.88,5.00,4.40,batigol,2012-08-29 18:00:02
607,2012-08-28 19:00:00,SOC,Livebet,Reading - Peterborough United,0.00,LOST,FT Over 5.5 (3:2),3-2,188bet,2.23,1.00,-1.00,batigol,2012-08-28 20:41:19
608,2012-08-31 18:45:00,SOC,Ireland,UCD - Bray,4.02,WIN,UCD (+0),3-1,188bet,2.01,2.00,2.02,batigol,2012-08-28 13:59:08
609,2012-08-31 18:45:00,SOC,Ireland,Drogheda - Dundalk,3,PUSH,Dundalk (+1),3-2,188bet,1.87,3.00,0.00,batigol,2012-08-28 13:39:41
610,2012-08-28 18:45:00,SOC,Champions L,Hapoel Ironi Kiryat Shmona - Bate,3.34,WIN,Under 2.5,1-1,888sport,1.67,2.00,1.34,batigol,2012-08-28 12:31:55
611,2012-08-27 20:00:00,SOC,Spa. Primera,Atl Madrid - Ath Bilbao,0.00,LOST,Under 2.5,4-0,PINNACLE,2.22,2.00,-2.00,batigol,2012-08-27 19:49:27
612,2012-08-27 14:00:00,SOC,Eng. Conference,Alfreton - Nuneaton,2.05,WIN,Nuneaton (+0.5),0-3,PINNACLE,2.05,1.00,1.05,batigol,2012-08-27 13:51:34
613,2012-08-27 14:00:00,SOC,Eng. Other,Hyde - Southport,0.00,LOST,Hyde (-0.25),0-2,PINNACLE,2.1,2.00,-2.00,batigol,2012-08-27 13:17:53
614,2012-08-26 23:19:00,SOC,Livebet,Los Angeles Galaxy - FC Dallas,2.35,WIN,FT Over 1.5 (0:0),2-0,188bet,2.35,1.00,1.35,batigol,2012-08-27 00:35:18
615,2012-08-26 18:10:00,SOC,Argentina,Belgrano - Newells Old Boys,3.5,WIN,Both 2 Score - No,0-0,EXPEKT,1.75,2.00,1.50,batigol,2012-08-26 18:06:18
616,2012-08-26 18:10:00,SOC,Argentina,Belgrano - Newells Old Boys,1,PUSH,Newells Old Boys (+0),0-0,William Hill,1.91,1.00,0.00,batigol,2012-08-26 18:03:49
617,2012-08-26 12:30:00,SOC,Livebet,Standard Liege - KV Mechelen,2.05,WIN,FT Over 1.5 (0:0),3-2,188bet,2.05,1.00,1.05,batigol,2012-08-26 13:39:55
618,2012-08-25 23:20:00,SOC,Argentina,Independiente - Arsenal,1.91,WIN,Arsenal (+0),0-2,William Hill,1.91,1.00,0.91,batigol,2012-08-25 23:15:32
619,2012-08-24 18:45:00,SOC,Ireland,St Patricks - Sligo,6.4,WIN,DRAW,0-0,Bet365,3.2,2.00,4.40,batigol,2012-08-24 18:05:52
620,2012-08-24 18:05:00,SOC,Ireland,Shamrock - Cork,0.00,LOST,Both 2 Score - Yes,2-0,William Hill,2.15,2.00,-2.00,batigol,2012-08-24 17:59:34
621,2012-08-23 18:45:00,SOC,Europa League,Motherwell - Levante,10.3,WIN,Levante (-1),0-2,PINNACLE,2.06,5.00,5.30,batigol,2012-08-23 18:34:14
622,2012-08-21 18:45:00,SOC,Eng. League Two,Dagenham & Redbridge - Plymouth,8,WIN,X2,0-0,William Hill,1.6,5.00,3.00,batigol,2012-08-21 18:39:21
