Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
36,2016-03-11 18:30:00,SOC,Romania,Petrolul Ploiesti - CSMS Iasi,9.2,WIN,Full Event Away +0.00 (AH),1:2 (0:2),PINNACLE,1.84,5.00,4.20,rooney27,2016-03-10 15:58:13
37,2016-03-10 16:00:00,SOC,Romania,CS Concordia Chiajna - FC Dinamo Bucuresti,9.5,WIN,Full Time Excluding Overtime Home +0.75 (Asian Handicap),3:0 (1:0),188bet,1.9,5.00,4.50,rooney27,2016-03-10 15:29:25
38,2016-03-14 18:30:00,SOC,Romania,AS FCM Targu Mures - FC Dinamo Bucuresti,0.00,LOST,Full Time Excluding Overtime Away -1.00 (Asian Handicap),0:0 (0:0),Bet365,3.1,2.00,-2.00,rooney27,2016-03-09 19:36:32
39,2016-03-14 11:00:00,SOC,Romania,ASA Targu Mures - Dinamo Bucuresti,0.00,LOST,Full Event Away -0.50 (AH),0:0 (0:0),PINNACLE,2.14,5.00,-5.00,rooney27,2016-03-09 19:34:31
40,2016-03-12 12:00:00,SOC,Romania,Pandurii Targu-Jiu - Viitorul Constanta,2.5,LOST,Full Event Home -0.25 (AH),1:1 (0:0),PINNACLE,1917,5.00,-2.50,rooney27,2016-03-09 19:33:36
41,2016-03-07 17:00:00,SOC,Livebet,Concordia Chiajna - ACS Poli Timisoara,6.83,WIN,Full Event Home +0.25 (AH) (0 - 0),0:0,188bet,1.73,5.00,1.83,rooney27,2016-03-07 16:07:02
42,2016-03-06 12:00:00,SOC,Romania,CSU Craiova - FC Voluntari,0.00,LOST,Full Event Away +0.25 (AH),3:0,PINNACLE,1943,5.00,-5.00,rooney27,2016-03-05 20:12:15
43,2016-03-04 18:30:00,SOC,Romania,Botosani - Petrolul Ploiesti,0.00,LOST,Full Event Over 2.5 (O/U),1:0,PINNACLE,2.34,2.00,-2.00,rooney27,2016-03-03 15:16:30
44,2016-03-04 18:30:00,SOC,Romania,Botosani - Petrolul Ploiesti,9.46,WIN,Full Event Home -0.50 (AH),1:0,PINNACLE,1892,5.00,4.46,rooney27,2016-03-03 15:08:03
45,2016-02-22 18:30:00,SOC,Romania,Voluntari - Steaua Bucuresti,0.00,LOST,Away -1 (Match),3-1,PINNACLE,1.99,10.00,-10.00,rooney27,2016-02-20 17:19:38
