Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2015-12-20 20:30:00,Spain,Liga BBVA,MALAGA CF vs ATLETICO MADRID,1-0 (0-0),Match Odds,ATLETICO MADRID,1.93,,80,-80.00,Lost,Bettingspaintips,Football,2015-12-20 12:36:04
2015-12-19 17:00:00,Spain,Segunda B Group III,UD SOMOZAS vs REAL VALLADOLID B,3-0,Asian handicap,UD SOMOZAS -0.50,1.84,,80,67.20,Win,Bettingspaintips,Football,2015-12-18 19:41:01
2015-12-19 16:00:00,Spain,Segunda B Group III,REAL MADRID CASTILLA vs CF TALAVERA DE LA REINA,1-1,Asian handicap,REAL MADRID CASTILLA -1.00,1.71,,80,-80.00,Lost,Bettingspaintips,Football,2015-12-18 13:27:02
2015-12-16 11:30:00,World Cup,World Cup,SANFRECCE HIROSHIMA vs RIVER PLATE,0-1 (0-0),Match Odds,RIVER PLATE,2.00,,80,80.00,Win,Bettingspaintips,Football,2015-12-15 02:01:01
2015-12-15 21:00:00,Spain,Copa del Rey,SEVILLA FC vs UD LOGRONES,2-0 (2-0),Asian handicap,SEVILLA FC -1.50,1.92,,80,73.60,Win,Bettingspaintips,Football,2015-12-15 12:35:04
2015-12-13 20:30:00,Spain,Liga BBVA,VILLARREAL CF vs REAL MADRID,1-0 (1-0),Asian handicap,REAL MADRID -0.75,1.84,,80,-80.00,Lost,Bettingspaintips,Football,2015-12-12 23:09:03
2015-12-13 17:00:00,Spain,Segunda B Group III,CD GUIJUELO vs PENA SPORT FC,3-0,Asian handicap,CD GUIJUELO -1.00,2.07,,80,85.60,Win,Bettingspaintips,Football,2015-12-13 12:28:04
2015-12-13 17:00:00,Spain,Segunda B Group III,BURGOS CF vs CD IZARRA,2-1,Match Odds,BURGOS CF,1.95,,80,76.00,Win,Bettingspaintips,Football,2015-12-11 11:46:02
2015-12-13 12:00:00,Spain,Segunda B Group III,LLEIDA ESPORTIU vs CD OLIMPIC DE XATIVA,1-0,Asian handicap,LLEIDA ESPORTIU -0.75,1.79,,80,31.60,Half win,Bettingspaintips,Football,2015-12-11 11:23:06
2015-12-13 12:00:00,Spain,Segunda B Group III,CF GETAFE B vs CD TOLEDO SAD,1-4,Match Odds,CD TOLEDO SAD,2.15,,80,92.00,Win,Bettingspaintips,Football,2015-12-10 22:06:01
2015-12-12 22:05:00,Spain,Liga BBVA,LAS PALMAS UD vs BETIS SEVILLA,1-0 (0-0),Asian handicap,BETIS SEVILLA +0.50,1.80,,80,-80.00,Lost,Bettingspaintips,Football,2015-12-12 01:11:01
2015-12-12 18:00:00,Spain,Liga Adelante,CORDOBA CF vs UE LLAGOSTERA,2-0 (1-0),Asian handicap,CORDOBA CF -1.00,2.29,,80,103.20,Win,Bettingspaintips,Football,2015-12-11 19:47:01
