Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-01-20 20:45:00,Belgium,Cofidis Cup,STANDARD LIEGE vs KRC GENK,2-0 (2-0),Asian handicap,STANDARD LIEGE -0.75,2.23,,100,123.00,Win,Aurelien Delon,Football,2016-01-20 18:43:02
2016-01-19 20:45:00,England,FA Cup,PORTSMOUTH FC vs IPSWICH TOWN,2-1 (2-0),Asian handicap,PORTSMOUTH FC -0.25,1.85,,100,85.00,Win,Aurelien Delon,Football,2016-01-19 19:11:02
2016-01-19 18:00:00,France,Coupe de France,STADE RENNES vs BOURG PERONNAS,1-3 (1-0),Over / Under,Over +2.50,1.87,Bwin,100,87.00,Win,Aurelien Delon,Football,2016-01-19 12:06:02
2016-01-17 21:30:00,Portugal,Liga Sagres,VITORIA GUIMARAES vs FC PORTO,1-0 (1-0),Match Odds 1st Half,FC PORTO Half time,2.00,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-17 16:00:02
2016-01-17 18:15:00,Spain,Liga BBVA,LAS PALMAS UD vs ATLETICO MADRID,0-3 (0-1),Asian handicap,ATLETICO MADRID -0.75,1.83,,100,83.00,Win,Aurelien Delon,Football,2016-01-17 14:22:04
2016-01-16 19:45:00,Netherlands,Eredivisie,PEC ZWOLLE vs SC HEERENVEEN,5-2 (2-0),Asian handicap,SC HEERENVEEN +0.25,2.01,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-16 16:22:07
2016-01-16 18:00:00,Spain,Liga Adelante,ALBACETE BALOMPIE vs NUMANCIA CD,0-2 (0-1),Asian handicap,ALBACETE BALOMPIE -0.50,2.02,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-16 16:37:01
2016-01-15 20:00:00,France,Ligue 2,AC HAVRE vs PARIS FC 98,2-1 (1-0),Over / Under,Over +2.00,1.84,,100,84.00,Win,Aurelien Delon,Football,2016-01-15 15:13:03
2016-01-15 20:00:00,Netherlands,Eredivisie,FC TWENTE ENSCHEDE vs HERACLES ALMELO,4-0 (2-0),Asian handicap,FC TWENTE ENSCHEDE -0.25,2.13,,100,113.00,Win,Aurelien Delon,Football,2016-01-15 15:11:01
2016-01-13 21:00:00,France,Coupe de la Ligue,PARIS ST GERMAIN vs OLYMPIQUE LYON,2-1 (1-1),Over / Under 1st Half,Over +1.25 Half time,1.95,,100,95.00,Win,Aurelien Delon,Football,2016-01-13 14:46:02
2016-01-13 21:00:00,Italy,Coppa Italia,AC MILAN vs CARPI FC,2-1 (2-0),Asian handicap,AC MILAN -1.25,2.15,,100,-50.00,Half lost,Aurelien Delon,Football,2016-01-11 05:01:02
2016-01-12 20:45:00,England,Premier League,ASTON VILLA vs CRYSTAL PALACE,1-0 (0-0),Asian handicap,ASTON VILLA +0,2.25,,100,125.00,Win,Aurelien Delon,Football,2016-01-12 13:49:02
2016-01-08 20:30:00,France,Ligue 1,PARIS ST GERMAIN vs SC BASTIA,2-0 (2-0),Over / Under 1st Half Team,PARIS ST GERMAIN Over +1.25,2.14,,100,114.00,Win,Aurelien Delon,Football,2016-01-08 11:18:02
2016-01-08 20:00:00,France,Ligue 2,BOURG PERONNAS vs US CRETEIL,5-1 (1-1),Asian handicap,BOURG PERONNAS -0.75,2.16,,100,116.00,Win,Aurelien Delon,Football,2016-01-08 18:12:02
2016-01-06 12:30:00,Italy,Serie A,UDINESE CALCIO vs ATALANTA BERGAMASCA,2-1 (2-0),Over / Under,Under +2.25,1.97,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-06 09:06:03
2016-01-05 20:45:00,Italy,Serie A,GENOA FC vs SAMPDORIA GENOA,2-3 (0-2),Over / Under Team,GENOA FC Under +0.50,1.76,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-05 11:22:02
2016-01-03 14:30:00,England,Premier League,CRYSTAL PALACE vs CHELSEA FC,0-3 (0-1),Match Odds,CHELSEA FC,2.10,,100,110.00,Win,Aurelien Delon,Football,2016-01-03 06:05:02
2015-12-30 21:00:00,Portugal,Carlsberg Cup,FC FAMALICAO vs CD FEIRENSE,0-1 (0-0),Match Odds,FC FAMALICAO,2.05,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-30 16:53:02
2015-12-30 20:30:00,Spain,Liga BBVA,CELTA DE VIGO vs ATHLETIC BILBAO,0-1 (0-0),Asian handicap,ATHLETIC BILBAO +0,1.96,,80,76.80,Win,Aurelien Delon,Football,2015-12-30 16:56:03
2015-12-30 16:00:00,Spain,Liga BBVA,REAL MADRID vs REAL SOCIEDAD,3-1 (1-0),Asian Handicap 1st Half,REAL MADRID -1.00 Half time,1.87,,100,0.00,Void,Aurelien Delon,Football,2015-12-30 10:08:01
2015-12-26 16:00:00,England,Premier League,MANCHESTER CITY vs SUNDERLAND AFC,4-1 (3-0),Over / Under 1st Half Team,MANCHESTER CITY Over +1.00,1.82,,100,82.00,Win,Aurelien Delon,Football,2015-12-23 15:29:02
2015-12-23 20:30:00,Italy,Serie B,VICENZA CALCIO vs LATINA CALCIO,1-1 (0-1),Match Odds 1st Half,Draw Half time,2.10,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-23 11:29:02
2015-12-20 20:45:00,Italy,Serie A,INTER MILAN vs LAZIO ROMA,1-2 (0-1),Match Odds,INTER MILAN,1.76,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-16 14:22:02
2015-12-19 20:00:00,France,Ligue 1,FC LORIENT vs FC NANTES,0-0 (0-0),Match Odds,FC LORIENT,2.27,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-19 19:38:02
2015-12-16 17:00:00,France,Coupe de la Ligue,FC GIRONDINS BORDEAUX vs AS MONACO,3-0 (1-0),Over / Under,Over +2.00,1.85,,100,85.00,Win,Aurelien Delon,Football,2015-12-14 11:36:04
2015-12-13 20:45:00,Italy,Serie A,JUVENTUS TURIN vs AC FIORENTINA,3-1 (1-1),Over / Under Team,JUVENTUS TURIN Over +1.50,1.87,,100,87.00,Win,Aurelien Delon,Football,2015-12-07 16:35:05
2015-12-13 20:30:00,Spain,Liga BBVA,VILLARREAL CF vs REAL MADRID,1-0 (1-0),Match Odds,REAL MADRID,1.75,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-07 16:43:02
2015-12-12 20:00:00,France,Ligue 1,LILLE OSC vs FC LORIENT,3-0 (1-0),Match Odds,LILLE OSC,1.86,,100,86.00,Win,Aurelien Delon,Football,2015-12-12 18:08:14
2015-12-12 18:15:00,Spain,Liga BBVA,CELTA DE VIGO vs ESPANYOL BARCELONA,1-0 (1-0),Both team to score,Yes,1.80,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-09 16:20:02
2015-12-12 15:00:00,Italy,Serie A,GENOA FC vs BOLOGNA FC,0-1 (0-0),Match Odds,GENOA FC,2.05,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-09 16:15:03
2015-12-10 21:05:00,European cups,UEFA Europa League,APOEL NICOSIA FC vs SPARTA PRAGUE,1-3 (1-0),Asian handicap,SPARTA PRAGUE -0.50,2.08,,100,108.00,Win,Aurelien Delon,Football,2015-12-10 14:15:02
2015-12-10 21:05:00,European cups,UEFA Europa League,RSC ANDERLECHT vs QARABAG FK,2-1 (2-1),Asian handicap,RSC ANDERLECHT -1.00,1.83,,100,0.00,Void,Aurelien Delon,Football,2015-12-10 14:09:02
2015-12-09 20:45:00,European cups,UEFA Champions League,KAA GENT vs ZENIT ST PETERSBURG,2-1 (1-0),Asian handicap,KAA GENT -0.25,2.12,,100,112.00,Win,Aurelien Delon,Football,2015-12-05 03:24:01
2015-12-06 20:30:00,Spain,Liga BBVA,ATHLETIC BILBAO vs MALAGA CF,0-0 (0-0),Asian handicap,ATHLETIC BILBAO -1.00,1.92,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-06 17:41:05
2015-12-06 18:00:00,Belgium,Jupiler Pro League,KRC GENK vs RSC ANDERLECHT,0-0 (0-0),Over / Under,Under +2.75,1.76,,100,76.00,Win,Aurelien Delon,Football,2015-12-06 15:54:01
2015-12-05 15:00:00,Italy,Serie B,PRO VERCELLI vs TERNANA CALCIO,1-2,Over / Under,Under +2.25,1.77,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-05 13:03:04
2015-12-05 13:45:00,England,Premier League,STOKE CITY vs MANCHESTER CITY,2-0 (2-0),Match Odds 1st Half,MANCHESTER CITY Half time,2.25,,100,-100.00,Lost,Aurelien Delon,Football,2015-12-01 18:59:06
