Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2015-12-18 01:00:00,Bolivia,"Liga Profesional, Apertura",REAL POTOSI vs UNIVERSITARIO DE SUCRE,2-3 (1-0),Over / Under,Over +3.50,2.42,,80,113.60,Win,Rufus Rasco,Football,2015-12-17 16:42:03
2015-12-17 20:45:00,Netherlands,KNVB beker,FEYENOORD ROTTERDAM vs WILLEM II TILBURG,1-1 (0-1),Asian handicap,FEYENOORD ROTTERDAM -1.50,2.35,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-17 17:20:03
2015-12-16 14:30:00,India,"Indian Super League, Playoffs",ATLETICO DE KOLKATA vs CHENNAIYIN FC,2-1 (1-0),Over / Under,Over +3.00,2.08,,100,0.00,Void,Rufus Rasco,Football,2015-12-16 13:27:04
2015-12-15 20:45:00,England,Championship,DERBY COUNTY vs BRISTOL CITY,4-0 (1-0),Asian handicap,DERBY COUNTY -1.00,2.25,,80,100.00,Win,Rufus Rasco,Football,2015-12-15 14:26:02
2015-12-15 20:45:00,England,Championship,FULHAM FC vs IPSWICH TOWN,1-2 (1-1),Over / Under,Over +3.25,2.43,,80,-40.00,Half lost,Rufus Rasco,Football,2015-12-15 14:23:05
2015-12-11 20:00:00,Netherlands,Jupiler League,JONG PSV EINDHOVEN vs ALMERE CITY FC,3-4 (1-2),Over / Under,Over +3.50,2.46,,80,116.80,Win,Rufus Rasco,Football,2015-12-11 14:37:02
2015-12-11 14:30:00,India,"Indian Super League, Playoffs",DELHI DYNAMOS FC vs FC GOA,1-0 (1-0),Over / Under,Over +3.00,2.25,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-11 11:09:03
2015-12-10 18:00:00,Saudi Arabia,Saudi Professional League,AL ITTIHAD vs HAJER CLUB,5-0 (2-0),Asian handicap,AL ITTIHAD -2.00,2.33,,80,106.40,Win,Rufus Rasco,Football,2015-12-10 13:48:02
2015-12-10 15:30:00,Saudi Arabia,Saudi Professional League,AL KHALEEJ vs AL NASR RIYADH,1-1 (0-0),Over / Under,Over +3.25,2.46,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-10 13:42:03
2015-12-09 20:45:00,European cups,UEFA Champions League,OLYMPIACOS FC vs ARSENAL FC,0-3 (0-1),Match Odds,ARSENAL FC,2.12,,80,89.60,Win,Rufus Rasco,Football,2015-12-09 14:21:02
2015-12-09 20:00:00,Belgium,EXQI League,UNION SAINT-GILLOISE vs MSK DEINZE,3-0 (2-0),Asian handicap,UNION SAINT-GILLOISE -1.00,2.40,,80,112.00,Win,Rufus Rasco,Football,2015-12-09 14:39:01
2015-12-09 18:30:00,Italy,Serie B,VIRTUS LANCIANO vs CAGLIARI CALCIO,1-3 (0-2),Match Odds,CAGLIARI CALCIO,1.99,,80,79.20,Win,Rufus Rasco,Football,2015-12-09 14:32:05
2015-12-07 21:00:00,England,Premier League,EVERTON FC vs CRYSTAL PALACE,1-1 (0-0),Asian handicap,EVERTON FC -1.00,3.00,,100,-100.00,Lost,Rufus Rasco,Football,2015-12-07 15:13:02
2015-12-07 19:00:00,Denmark,SAS Ligaen,AALBORG BK vs VIBORG FF,2-0 (1-0),Over / Under,Over +3.00,2.54,,100,-100.00,Lost,Rufus Rasco,Football,2015-12-07 15:33:06
2015-12-05 16:00:00,England,Premier League,SWANSEA CITY vs LEICESTER CITY,0-3 (0-2),Match Odds,LEICESTER CITY,2.88,,80,150.40,Win,Rufus Rasco,Football,2015-12-05 14:55:01
2015-12-05 14:30:00,India,Indian Super League,FC PUNE CITY vs CHENNAIYIN FC,0-1 (0-0),Over / Under,Over +3.00,2.32,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-05 13:21:05
2015-12-05 13:00:00,Germany,2. Bundesliga,SC FREIBURG vs FC UNION BERLIN,3-0 (2-0),Asian handicap,SC FREIBURG -1.00,2.42,,80,113.60,Win,Rufus Rasco,Football,2015-12-05 11:53:02
2015-12-04 20:30:00,Germany,Bundesliga,FC SCHALKE 04 vs HANNOVER 96,3-1 (0-0),Asian handicap,FC SCHALKE 04 -1.00,2.07,,80,85.60,Win,Rufus Rasco,Football,2015-12-04 16:28:03
2015-12-04 20:00:00,Netherlands,Jupiler League,ALMERE CITY FC vs FC DEN BOSCH,1-1 (1-1),Over / Under,Over +3.00,2.27,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-04 16:38:03
2015-12-04 19:00:00,Turkey,Turkcell Super Lig,GALATASARAY ISTANBUL vs BURSASPOR,3-0 (0-0),Asian handicap,GALATASARAY ISTANBUL -1.25,2.48,,80,118.40,Win,Rufus Rasco,Football,2015-12-04 16:42:02
2015-12-04 18:00:00,Denmark,SAS Ligaen,AGF AARHUS vs FC MIDTJYLLAND,2-1 (1-1),Match Odds,FC MIDTJYLLAND,2.11,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-04 16:32:02
2015-12-04 14:30:00,India,Indian Super League,ATLETICO DE KOLKATA vs MUMBAI CITY FC,2-3 (1-1),Over / Under,Over +3.50,2.40,Bwin,60,84.00,Win,Rufus Rasco,Football,2015-12-04 12:32:04
2015-12-04 14:00:00,Qatar,Stars League,SADD SC vs AL-SAILIYA SC,1-2 (1-2),Over / Under,Over +3.75,2.41,,60,-60.00,Lost,Rufus Rasco,Football,2015-12-04 12:41:04
2015-12-03 21:00:00,France,Ligue 1,STADE RENNES vs OLYMPIQUE MARSEILLE,0-1 (0-1),Over / Under,Over +2.50,2.38,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-03 15:02:07
2015-12-03 20:45:00,Belgium,Cofidis Cup,CLUB BRUGGE vs SPORTING LOKEREN,1-0 (0-0),Asian handicap,CLUB BRUGGE -1.75,2.45,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-03 15:17:05
2015-12-03 17:00:00,Russia,Premier League,ZENIT ST PETERSBURG vs FC UFA,1-1 (0-1),Asian handicap,ZENIT ST PETERSBURG -1.75,2.31,,80,-80.00,Lost,Rufus Rasco,Football,2015-12-03 14:58:02
