Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2015-11-05 21:05:00,European cups,UEFA Europa League,FC AUGSBURG vs AZ ALKMAAR,4-1 (2-1),Over / Under,Over +2.50,1.69,,60,41.40,Win,Charlie Bryson,Football,2015-11-05 15:32:04
2015-11-05 19:00:00,European cups,UEFA Europa League,BORUSSIA DORTMUND vs FK GABALA,4-0 (2-0),Both team to score,No,1.44,,80,35.20,Win,Charlie Bryson,Football,2015-11-05 15:09:13
2015-11-04 20:45:00,European cups,UEFA Champions League,OLYMPIACOS FC vs NK DINAMO ZAGREB,2-1 (0-1),Over / Under,Over +2.50,1.95,,80,76.00,Win,Charlie Bryson,Football,2015-11-03 08:57:11
2015-11-03 20:45:00,European cups,UEFA Champions League,MONCHENGLADBACH vs JUVENTUS TURIN,1-1 (1-1),Asian handicap,MONCHENGLADBACH +0,2.29,,60,0.00,Void,Charlie Bryson,Football,2015-11-03 15:09:06
2015-11-03 18:30:00,Austria,ADEG Erste Liga,FC LIEFERING vs SC AUSTRIA LUSTENAU,2-1 (1-0),Over / Under 1st Half,Over +1.25 Half time,1.97,,60,-30.00,Half lost,Charlie Bryson,Football,2015-11-03 16:56:08
2015-11-03 18:30:00,Austria,ADEG Erste Liga,KSV 1919 vs AUSTRIA KLAGENFURT,1-1 (1-1),Over / Under 1st Half,Over +1.25 Half time,2.11,,60,66.60,Win,Charlie Bryson,Football,2015-11-03 16:55:06
2015-11-03 16:00:00,European cups,UEFA Champions League,FC ASTANA vs ATLETICO MADRID,0-0 (0-0),Asian Handicap 1st Half,ATLETICO MADRID -1.00 Half time,3.00,,60,-60.00,Lost,Charlie Bryson,Football,2015-11-03 14:53:10
2015-11-01 21:00:00,France,Ligue 1,FC NANTES vs OLYMPIQUE MARSEILLE,0-1 (0-0),Over / Under,Over +2.50,2.37,,80,-80.00,Lost,Charlie Bryson,Football,2015-11-01 17:44:08
2015-11-01 20:00:00,Bolivia,"Liga Profesional, Apertura",CA CICLON vs REAL POTOSI,2-0 (1-0),Over / Under 1st Half,Over +1.25 Half time,1.97,,100,-50.00,Half lost,Charlie Bryson,Football,2015-11-01 17:39:04
2015-11-01 16:00:00,Serbia,Superliga,FK METALAC GM vs PARTIZAN BELGRADE,1-0 (1-0),Match Odds,PARTIZAN BELGRADE,1.60,,100,-100.00,Lost,Charlie Bryson,Football,2015-11-01 11:50:43
2015-11-01 12:00:00,Spain,Liga BBVA,SD EIBAR vs RAYO VALLECANO,1-0 (1-0),Over / Under,Under +2.50,1.90,,80,72.00,Win,Charlie Bryson,Football,2015-11-01 00:51:06
2015-10-31 18:30:00,Germany,Bundesliga,VFL WOLFSBURG vs BAYER LEVERKUSEN,2-1 (1-1),Over / Under,Over +2.50,1.79,,80,63.20,Win,Charlie Bryson,Football,2015-10-29 09:17:08
2015-10-31 16:00:00,England,Premier League,MANCHESTER CITY vs NORWICH CITY,2-1 (0-0),Asian handicap,MANCHESTER CITY -1.50,1.78,,100,-100.00,Lost,Charlie Bryson,Football,2015-10-30 10:41:02
2015-10-31 14:00:00,Germany,Regionalliga West,SF LOTTE vs SC VERL,2-0 (0-0),Match Odds,SF LOTTE,1.90,,80,72.00,Win,Charlie Bryson,Football,2015-10-31 11:09:09
2015-10-30 20:45:00,Ireland,Airtricity Premier Division,GALWAY UNITED FC vs SAINT PATRICK'S ATHLETIC FC,0-1 (0-1),Asian handicap,GALWAY UNITED FC +0.50,2.06,,60,-60.00,Lost,Charlie Bryson,Football,2015-10-30 19:45:12
2015-10-30 20:30:00,Spain,Liga BBVA,DEPORTIVO LA CORUNA vs ATLETICO MADRID,1-1 (0-1),Match Odds,ATLETICO MADRID,1.75,,80,-80.00,Lost,Charlie Bryson,Football,2015-10-29 15:18:09
2015-10-29 20:45:00,Italy,Serie A,SAMPDORIA GENOA vs FC EMPOLI,1-1 (0-0),Over / Under 1st Half,Over +1.50 Half time,3.25,,40,-40.00,Lost,Charlie Bryson,Football,2015-10-29 17:47:03
2015-10-28 20:45:00,Italy,Serie A,AS ROMA vs UDINESE CALCIO,3-1 (2-0),Over / Under,Over +2.50,1.73,,80,58.40,Win,Charlie Bryson,Football,2015-10-28 13:46:08
2015-10-28 19:15:00,Peru,"Primera Division, Clausura",JUAN AURICH DE CHICLAYO vs UNION COMERCIO,1-0 (0-0),Over / Under,Over +2.50,1.80,,60,-60.00,Lost,Charlie Bryson,Football,2015-10-28 17:31:34
2015-10-27 19:00:00,Germany,DFB Pokal,ERZGEBIRGE AUE vs EINTRACHT FRANKFURT,1-0 (0-0),Asian handicap,EINTRACHT FRANKFURT -0.75,1.90,,60,-60.00,Lost,Charlie Bryson,Football,2015-10-27 12:29:05
